Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,239,123,243,310,342,652,"2,627","1,238"
Market Cap Growth,-,-49.50%,-21.48%,-9.29%,-47.61%,-75.18%,112.21%,-
Enterprise Value,-271,-388,-45,-15,-82,213,"2,074",921
PE Ratio,1.45,0.72,1.51,-2.93,2.07,2.85,-92.42,7.65
PS Ratio,0.48,0.25,0.35,0.51,0.28,0.40,1.51,2.64
PB Ratio,0.28,0.14,0.32,0.54,0.53,-12.40,5.85,3.99
P/FCF Ratio,0.90,0.46,10.43,7.52,10.57,-1.10,4030.46,4.10
P/OCF Ratio,0.90,0.46,9.85,7.19,8.72,-1.14,94.44,4.04
EV/Sales Ratio,-0.79,-0.79,-0.06,-0.02,-0.07,0.13,1.19,1.96
EV/EBITDA Ratio,-1.72,-1.72,-0.20,0.19,-0.34,0.77,41.07,5.71
EV/EBIT Ratio,-1.77,-1.77,-0.22,0.12,-0.44,0.83,71.04,5.77
EV/FCF Ratio,-1.46,-1.46,-1.92,-0.36,-2.55,-0.36,3181.20,3.05
Debt / Equity Ratio,0.13,0.13,0.23,0.15,0.07,-,-,-
Debt / EBITDA Ratio,0.51,0.51,0.78,-1.15,0.18,-,-,-
Debt / FCF Ratio,0.43,0.43,7.37,2.16,1.33,-,-,-
Asset Turnover,0.42,0.42,0.61,0.49,0.82,1.15,1.78,0.89
Return on Equity (ROE),22.00%,22.00%,23.70%,-16.40%,36.60%,47.40%,-7.00%,70.10%
Return on Assets (ROA),14.70%,14.70%,14.00%,-8.50%,11.00%,16.20%,-2.90%,30.80%
Return on Capital (ROIC),28.00%,28.00%,22.00%,-15.60%,16.90%,23.10%,5.50%,69.60%
Earnings Yield,71.75%,139.49%,66.32%,-34.17%,48.32%,35.05%,-1.08%,13.07%
FCF Yield,111.05%,215.91%,9.59%,13.30%,9.46%,-90.95%,0.02%,24.39%
Dividend Yield,-,-,-,-,8.00%,20.55%,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,11.30%,-949.70%,0.00%
Buyback Yield / Dilution,-2.23%,-2.81%,5.39%,3.34%,-0.14%,-2.10%,-53.39%,-18.17%
Total Shareholder Return,-2.23%,-2.81%,5.39%,3.34%,-0.14%,5.90%,-32.84%,-18.17%
