Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,838,"1,516","1,961","1,274","1,512",518,625,287,174,134,-,Upgrade
Market Cap Growth,-,-22.67%,53.89%,-15.72%,191.90%,-17.11%,117.67%,65.32%,29.49%,-,-,Upgrade
Enterprise Value,"1,939","2,484","2,591","2,086","2,086",478,579,99,139,89,-54,Upgrade
PE Ratio,5.60,10.36,14.05,17.25,16.66,13.17,41.36,22.87,19.98,26.17,-,Upgrade
PS Ratio,2.06,3.89,5.70,5.15,5.15,4.34,8.81,6.32,5.06,5.08,-,Upgrade
PB Ratio,0.56,1.05,1.49,1.06,1.27,0.98,1.28,1.20,1.32,1.18,-,Upgrade
P/FCF Ratio,5.39,8.06,10.08,11.92,15.70,11.42,-34.54,29.34,12.57,-13410.25,-,Upgrade
P/OCF Ratio,5.27,7.87,10.13,11.84,14.54,10.28,23.44,26.43,10.71,60.05,-,Upgrade
EV/Sales Ratio,4.76,6.37,7.53,8.43,7.10,4.00,8.15,2.17,4.04,3.37,-2.49,Upgrade
EV/EBITDA Ratio,9.08,12.10,13.49,20.08,15.83,8.34,18.66,4.76,9.67,9.61,-8.30,Upgrade
EV/EBIT Ratio,9.97,13.31,14.69,23.68,18.01,9.52,20.53,5.19,10.74,11.24,-10.33,Upgrade
EV/FCF Ratio,12.46,13.21,13.32,19.51,21.66,10.54,-31.99,10.08,10.03,-8892.55,-9.63,Upgrade
Debt / Equity Ratio,1.28,0.97,0.77,0.87,0.69,0.08,0.21,0.19,0.28,0.42,0.35,Upgrade
Debt / EBITDA Ratio,8.94,6.84,5.26,10.03,6.27,0.78,3.32,2.24,2.55,5.20,3.58,Upgrade
Debt / FCF Ratio,12.27,7.46,5.19,9.75,8.58,0.99,-5.69,4.74,2.64,-4807.40,4.15,Upgrade
Asset Turnover,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),10.50%,10.20%,10.90%,6.30%,7.60%,7.70%,4.20%,7.70%,6.90%,5.70%,5.20%,Upgrade
Return on Assets (ROA),1.30%,1.30%,1.50%,0.90%,1.10%,1.20%,0.70%,1.00%,0.90%,0.70%,0.60%,Upgrade
Return on Capital (ROIC),1.60%,1.60%,1.80%,1.00%,1.50%,1.70%,1.50%,1.70%,1.50%,1.20%,1.00%,Upgrade
Earnings Yield,18.05%,9.65%,7.12%,5.80%,6.00%,7.60%,2.42%,4.37%,5.01%,3.82%,-,Upgrade
FCF Yield,18.56%,12.40%,9.92%,8.39%,6.37%,8.76%,-2.89%,3.41%,7.96%,-0.01%,-,Upgrade
Dividend Yield,5.18%,3.56%,1.86%,2.65%,1.72%,-,-,-,-,-,-,Upgrade
Payout Ratio,35.70%,36.40%,26.10%,45.90%,29.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-9.23%,-9.55%,0.73%,4.32%,-114.24%,-6.97%,-110.73%,-0.33%,-13.19%,-4.47%,-,Upgrade
Total Shareholder Return,-4.05%,-5.99%,2.59%,6.97%,-112.52%,-6.97%,-110.73%,-0.33%,-13.19%,-4.47%,-,Upgrade
