Year,Current,2022
Market Capitalization,244,531
Enterprise Value,244,530
PE Ratio,48.23,45.59
PB Ratio,-49.54,-61.76
P/FCF Ratio,-529.54,-612.00
P/OCF Ratio,-529.54,-612.00
EV/EBITDA Ratio,39.74,45.54
EV/EBIT Ratio,39.74,45.54
EV/FCF Ratio,-529.62,-611.32
Debt / Equity Ratio,-0.02,-
Debt / EBITDA Ratio,0.03,-
Debt / FCF Ratio,-0.17,-
Current Ratio,0.52,2.40
Return on Equity (ROE),-61.80%,-115.50%
Return on Assets (ROA),3.10%,4.90%
Return on Capital (ROIC),3.10%,4.90%
Earnings Yield,2.52%,2.19%
FCF Yield,-0.42%,-0.16%
Buyback Yield / Dilution,-706.67%,-
Total Shareholder Return,-706.67%,-
