Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,"1,197","1,696","2,091","1,639","1,225","1,076","1,282",622,-,-,-
Market Cap Growth,-,-18.88%,27.54%,33.86%,13.84%,-16.08%,106.03%,-,-,-,-
Enterprise Value,256,"1,154",511,615,"1,332","1,178","1,510",702,82,207,177
PE Ratio,9.54,13.62,10.99,25.77,14.61,13.41,24.46,15.33,-,-,-
PS Ratio,2.39,3.34,3.39,3.57,3.46,3.27,4.33,2.42,-,-,-
PB Ratio,0.87,1.28,1.46,1.27,1.61,1.60,2.15,1.88,-,-,-
P/FCF Ratio,2.06,2.18,42.86,-5.94,20.98,5.31,38.72,-2.49,-,-,-
P/OCF Ratio,2.00,2.15,38.10,-6.07,19.16,5.07,34.08,-2.54,-,-,-
EV/Sales Ratio,0.51,2.27,0.83,1.34,3.76,3.58,5.10,2.73,0.43,1.51,1.50
EV/EBITDA Ratio,1.48,6.71,1.99,6.45,11.19,10.39,18.92,9.15,1.40,5.21,5.30
EV/EBIT Ratio,1.59,7.24,2.10,7.46,12.16,11.13,20.54,11.27,1.61,5.97,6.16
EV/FCF Ratio,0.44,1.48,10.48,-2.23,22.82,5.82,45.60,-2.81,-1.59,-1.88,3.22
Debt / Equity Ratio,0.28,0.37,0.15,0.23,0.45,0.34,0.58,0.65,0.76,1.20,1.29
Debt / EBITDA Ratio,2.19,2.82,0.85,3.08,2.86,2.01,4.36,2.82,3.08,6.46,7.32
Debt / FCF Ratio,0.65,0.62,4.47,-1.06,5.83,1.13,10.50,-0.87,-3.48,-2.33,4.45
Asset Turnover,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.08,0.07,0.06,-
Return on Equity (ROE),9.50%,9.40%,13.80%,6.20%,11.50%,12.50%,10.40%,14.30%,21.20%,16.00%,-
Return on Assets (ROA),1.00%,1.00%,1.60%,0.70%,1.40%,1.60%,1.30%,1.30%,1.80%,1.40%,-
Return on Capital (ROIC),1.40%,1.40%,2.30%,1.00%,1.90%,2.10%,1.90%,2.00%,1.80%,1.40%,-
Earnings Yield,10.50%,7.34%,9.10%,3.88%,6.84%,7.46%,4.09%,6.52%,-,-,-
FCF Yield,48.55%,45.96%,2.33%,-16.83%,4.77%,18.82%,2.58%,-40.17%,-,-,-
Dividend Yield,2.19%,1.44%,1.00%,1.04%,0.81%,0.57%,-,-,-,-,-
Payout Ratio,20.10%,19.70%,11.00%,21.30%,11.90%,7.70%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,1.96%,1.64%,-1.09%,-52.59%,-0.70%,-11.18%,-46.06%,-12.41%,-,-,-
Total Shareholder Return,4.15%,3.08%,-0.08%,-51.55%,0.11%,-10.61%,-46.06%,-12.41%,-,-,-
