Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"2,906","3,143","3,742","5,025","5,165","4,298","3,545","2,268","1,909","1,902","2,276",Upgrade
Market Cap Growth,-,-16.01%,-25.53%,-2.71%,20.18%,21.24%,56.33%,18.77%,0.39%,-16.45%,32.23%,Upgrade
Enterprise Value,"4,185","4,318","4,716","5,992","5,807","5,132","4,092","2,903","2,498","2,578","2,817",Upgrade
PE Ratio,-12.20,-10.43,-31.05,12.26,9.73,22.61,29.32,134.98,22.28,16.61,10.46,Upgrade
PS Ratio,0.52,0.56,0.65,0.97,1.02,1.15,1.30,0.90,0.82,0.87,0.94,Upgrade
PB Ratio,1.08,1.18,0.93,1.10,1.30,1.41,1.68,1.15,0.96,0.91,1.11,Upgrade
P/FCF Ratio,-16.26,-12.87,12.65,12.58,11.51,9.10,15.39,9.94,8.64,14.36,10.38,Upgrade
P/OCF Ratio,-18.71,-14.95,10.67,11.22,9.67,7.97,14.73,9.43,8.88,14.23,18.64,Upgrade
EV/Sales Ratio,0.76,0.77,0.81,1.15,1.15,1.38,1.50,1.15,1.07,1.17,1.16,Upgrade
EV/EBITDA Ratio,-130.35,-53.04,231.17,7.33,6.77,13.67,16.00,26.04,11.01,9.55,6.47,Upgrade
EV/EBIT Ratio,-56.08,-32.73,-182.08,7.67,7.04,14.26,16.86,29.66,11.71,10.16,6.74,Upgrade
EV/FCF Ratio,-22.43,-17.68,15.94,15.00,12.94,10.86,17.77,12.72,11.31,19.47,12.84,Upgrade
Debt / Equity Ratio,0.52,0.52,0.28,0.26,0.20,0.30,0.28,0.38,0.38,0.36,0.30,Upgrade
Debt / EBITDA Ratio,-37.50,-17.04,55.00,1.43,0.91,2.42,2.32,6.74,3.31,2.79,1.39,Upgrade
Debt / FCF Ratio,-6.45,-5.68,3.79,2.94,1.73,1.92,2.57,3.29,3.40,5.68,2.77,Upgrade
Asset Turnover,0.41,0.40,0.39,0.38,0.40,0.37,0.33,0.31,0.29,0.28,0.31,Upgrade
Return on Equity (ROE),-10.80%,-10.60%,-2.90%,9.70%,14.30%,7.40%,5.90%,0.80%,4.20%,5.40%,10.60%,Upgrade
Return on Assets (ROA),-2.10%,-2.20%,-0.80%,3.00%,4.20%,1.90%,1.50%,0.20%,1.10%,1.40%,2.80%,Upgrade
Return on Capital (ROIC),-0.60%,-1.00%,-0.20%,5.90%,6.70%,3.60%,2.90%,1.10%,2.60%,3.10%,5.20%,Upgrade
Earnings Yield,-10.02%,-9.58%,-3.22%,8.16%,10.28%,4.42%,3.41%,0.74%,4.49%,6.02%,9.56%,Upgrade
FCF Yield,-7.52%,-7.77%,7.90%,7.95%,8.69%,10.99%,6.50%,10.06%,11.57%,6.96%,9.64%,Upgrade
Dividend Yield,2.73%,2.52%,2.11%,1.56%,1.33%,1.45%,1.39%,2.17%,2.58%,2.66%,2.35%,Upgrade
Payout Ratio,-27.70%,-26.30%,-66.30%,19.20%,12.80%,29.50%,41.00%,290.90%,58.20%,45.30%,25.20%,Upgrade
Buyback Yield / Dilution,-0.43%,-0.36%,2.68%,1.86%,-2.93%,-25.84%,-0.52%,0.13%,2.68%,5.42%,4.58%,Upgrade
Total Shareholder Return,2.35%,2.16%,4.79%,3.42%,-1.61%,-24.40%,0.88%,2.30%,5.26%,8.08%,6.92%,Upgrade
