Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,551,563,544,416,521,-,-
Market Cap Growth,-,3.40%,30.82%,-20.22%,-,-,-
Enterprise Value,577,729,273,226,319,-103,-61
PE Ratio,9.61,9.97,9.67,11.29,7.80,-,-
PS Ratio,2.95,3.10,3.24,2.94,3.20,-,-
PB Ratio,1.23,1.51,1.32,1.14,1.57,-,-
P/FCF Ratio,7.64,7.72,12.95,14.15,5.91,-,-
P/OCF Ratio,7.58,7.75,12.65,13.31,5.85,-,-
EV/Sales Ratio,3.09,4.02,1.63,1.60,1.96,-0.67,-0.41
EV/EBITDA Ratio,7.78,9.10,3.39,4.21,4.19,-1.49,-0.99
EV/EBIT Ratio,8.25,9.57,3.57,4.56,4.43,-1.60,-1.08
EV/FCF Ratio,7.99,10.00,6.50,7.69,3.62,-1.28,-0.88
Debt / Equity Ratio,0.45,0.75,0.34,0.34,0.25,0.25,0.32
Debt / EBITDA Ratio,2.73,3.50,1.71,2.28,1.08,1.21,1.68
Debt / FCF Ratio,2.80,3.84,3.29,4.17,0.93,1.04,1.49
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.05,-
Return on Equity (ROE),13.40%,15.20%,14.80%,10.50%,19.90%,19.20%,-
Return on Assets (ROA),1.20%,1.30%,1.40%,1.10%,2.10%,1.90%,-
Return on Capital (ROIC),1.60%,1.80%,2.10%,1.50%,2.40%,2.00%,-
Earnings Yield,9.44%,10.03%,10.34%,8.86%,12.82%,-,-
FCF Yield,13.09%,12.96%,7.72%,7.07%,16.92%,-,-
Dividend Yield,3.84%,3.28%,3.06%,3.96%,-,-,-
Payout Ratio,36.50%,32.80%,29.70%,44.80%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-6.87%,-3.81%,-1.23%,-36.67%,-11.32%,0.13%,-0.09%
Total Shareholder Return,-3.03%,-0.52%,1.83%,-32.71%,-11.32%,0.13%,-0.09%
