Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,161,227,205,166,224,190,245,240,120,114,94,Upgrade
Market Cap Growth,-,10.83%,23.51%,-25.83%,17.68%,-22.18%,2.04%,99.94%,4.97%,22.05%,39.37%,Upgrade
Enterprise Value,162,164,-275,-81,185,216,316,348,257,216,189,Upgrade
PE Ratio,6.59,11.32,14.00,19.68,12.01,9.74,20.38,18.32,10.88,9.85,9.07,Upgrade
PS Ratio,1.72,2.61,2.74,2.69,2.97,2.55,3.66,3.96,2.25,2.34,2.10,Upgrade
PB Ratio,0.86,1.28,1.05,0.84,1.17,1.07,1.49,1.55,0.75,0.96,0.87,Upgrade
P/FCF Ratio,5.62,7.08,7.66,17.20,16.55,10.46,16.83,14.83,14.81,11.78,7.20,Upgrade
P/OCF Ratio,5.35,6.70,7.37,13.94,13.46,9.08,14.66,12.97,8.56,7.44,5.30,Upgrade
EV/Sales Ratio,1.75,1.88,-3.68,-1.32,2.46,2.90,4.72,5.74,4.82,4.41,4.24,Upgrade
EV/EBITDA Ratio,4.81,5.68,-12.64,-5.86,6.79,7.95,13.02,16.30,14.12,11.85,11.81,Upgrade
EV/EBIT Ratio,5.27,6.40,-14.82,-7.77,7.82,8.73,14.42,18.31,16.13,13.12,13.08,Upgrade
EV/FCF Ratio,5.75,5.11,-10.28,-8.43,13.68,11.86,21.74,21.50,31.77,22.25,14.57,Upgrade
Debt / Equity Ratio,0.58,0.32,0.33,0.45,0.49,0.68,0.92,1.17,1.22,1.12,1.03,Upgrade
Debt / EBITDA Ratio,3.16,1.98,2.97,6.35,3.40,4.51,6.21,8.53,10.70,7.28,6.92,Upgrade
Debt / FCF Ratio,3.78,1.78,2.42,9.14,6.85,6.72,10.38,11.26,24.06,13.67,8.53,Upgrade
Asset Turnover,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),13.60%,11.40%,7.40%,4.40%,9.90%,11.40%,7.40%,8.50%,8.30%,9.80%,9.80%,Upgrade
Return on Assets (ROA),1.10%,0.90%,0.60%,0.40%,1.00%,1.10%,0.70%,0.90%,0.80%,1.00%,0.90%,Upgrade
Return on Capital (ROIC),1.50%,1.20%,1.00%,0.60%,1.30%,1.40%,1.20%,1.20%,1.10%,1.30%,1.30%,Upgrade
Earnings Yield,15.13%,8.84%,7.14%,5.08%,8.33%,10.27%,4.91%,5.46%,9.19%,10.15%,11.02%,Upgrade
FCF Yield,17.78%,14.12%,13.06%,5.81%,6.04%,9.56%,5.94%,6.74%,6.75%,8.49%,13.89%,Upgrade
Dividend Yield,3.67%,2.52%,2.51%,3.07%,2.78%,2.92%,1.89%,1.75%,2.42%,2.40%,1.66%,Upgrade
Payout Ratio,24.30%,28.40%,35.80%,60.50%,33.90%,31.30%,42.70%,33.70%,27.90%,22.80%,14.90%,Upgrade
Buyback Yield / Dilution,-1.12%,-0.21%,2.66%,-0.72%,-8.59%,-0.81%,-0.96%,-35.42%,3.30%,-15.39%,-2.28%,Upgrade
Total Shareholder Return,2.62%,2.31%,5.17%,2.35%,-5.81%,2.10%,0.93%,-33.67%,5.72%,-12.98%,-0.63%,Upgrade
