Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,150,164,145,122,179,115,86,73,171,252,316,Upgrade
Market Cap Growth,-,12.54%,19.63%,-32.04%,56.08%,33.76%,17.33%,-57.39%,-31.95%,-20.34%,25.48%,Upgrade
Enterprise Value,239,286,250,262,337,271,401,401,545,554,579,Upgrade
PE Ratio,3.03,3.73,2.69,-3.50,-101.54,-4.58,308.24,3.11,5.84,8.78,12.27,Upgrade
PS Ratio,1.01,1.17,0.94,3.47,2.54,2.07,14.38,179.00,5.11,7.63,11.35,Upgrade
PB Ratio,0.48,0.54,0.51,0.53,0.68,0.44,0.30,0.26,0.62,0.92,1.16,Upgrade
P/FCF Ratio,1.31,1.51,1.85,1.54,2.76,1.72,6.43,1.19,-3.84,-25.39,20.93,Upgrade
P/OCF Ratio,1.31,1.51,1.85,1.54,2.76,1.72,6.43,1.19,-3.84,-25.39,20.90,Upgrade
EV/Sales Ratio,1.62,2.04,1.62,7.46,4.77,4.88,67.21,983.20,16.25,16.76,20.79,Upgrade
EV/EBITDA Ratio,3.24,4.26,2.95,-7.04,55.39,-13.95,-11.47,5.74,18.30,18.97,21.55,Upgrade
EV/EBIT Ratio,3.47,4.62,3.19,-5.83,-236.92,-10.85,-11.14,5.78,18.55,19.29,22.46,Upgrade
EV/FCF Ratio,2.11,2.63,3.18,3.32,5.18,4.07,30.07,6.51,-12.22,-55.81,38.33,Upgrade
Debt / Equity Ratio,0.73,0.75,0.80,1.09,0.86,0.81,1.14,1.22,1.45,1.27,1.15,Upgrade
Debt / EBITDA Ratio,3.02,3.40,2.70,-6.79,37.11,-11.02,-9.38,4.99,13.58,11.96,11.72,Upgrade
Debt / FCF Ratio,1.97,2.09,2.91,3.20,3.47,3.22,24.59,5.67,-9.07,-35.16,20.85,Upgrade
Asset Turnover,0.07,0.07,0.09,0.02,0.05,0.04,0.01,0.00,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),16.50%,14.90%,20.70%,-14.60%,-0.70%,-10.10%,0.10%,8.40%,10.60%,10.40%,10.90%,Upgrade
Return on Assets (ROA),2.20%,2.10%,3.00%,-2.20%,-0.10%,-2.00%,0.00%,3.40%,4.50%,4.70%,4.50%,Upgrade
Return on Capital (ROIC),3.20%,3.00%,4.60%,-2.90%,-0.10%,-1.80%,-3.70%,6.60%,3.00%,3.20%,3.00%,Upgrade
Earnings Yield,33.23%,26.78%,37.20%,-28.61%,-0.98%,-21.85%,0.32%,32.20%,17.14%,11.39%,8.15%,Upgrade
FCF Yield,76.21%,66.42%,54.12%,64.73%,36.30%,58.06%,15.55%,84.33%,-26.03%,-3.94%,4.78%,Upgrade
Dividend Yield,4.91%,4.68%,-,-,-,-,-,19.86%,14.09%,9.46%,6.26%,Upgrade
Payout Ratio,14.90%,17.20%,0.00%,0.00%,0.00%,0.00%,0.00%,61.90%,81.80%,82.60%,75.40%,Upgrade
Buyback Yield / Dilution,8.40%,4.07%,-2.04%,-0.42%,-0.53%,-0.67%,0.50%,0.90%,2.72%,-12.81%,-10.13%,Upgrade
Total Shareholder Return,13.43%,8.75%,-2.04%,-0.42%,-0.53%,-0.67%,0.50%,20.76%,16.81%,-3.36%,-3.88%,Upgrade
