Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,48,67,66,53,72,72,76,70,60,59,57,Upgrade
Market Cap Growth,-,2.27%,23.49%,-25.82%,0.65%,-5.69%,8.43%,15.83%,2.65%,3.36%,-1.80%,Upgrade
Enterprise Value,126,183,98,136,150,145,157,115,129,120,106,Upgrade
PE Ratio,7.47,9.05,9.32,11.61,11.94,9.21,23.03,30.48,10.44,20.91,11.42,Upgrade
PS Ratio,0.86,1.18,1.18,1.06,1.46,1.42,1.54,1.56,1.22,1.23,1.15,Upgrade
PB Ratio,0.46,0.64,0.57,0.51,0.73,0.73,0.80,0.73,0.51,0.51,0.50,Upgrade
P/FCF Ratio,15.68,21.55,7.58,-19.79,34.79,12.25,15.75,13.41,6.75,18.15,4.80,Upgrade
P/OCF Ratio,9.38,12.95,6.63,-38.89,14.72,8.96,10.08,10.61,6.14,11.86,3.83,Upgrade
EV/Sales Ratio,2.22,3.20,1.75,2.70,3.04,2.88,3.18,2.55,2.61,2.50,2.14,Upgrade
EV/EBITDA Ratio,12.37,16.23,9.05,17.41,15.88,13.19,15.21,22.86,12.73,18.57,11.62,Upgrade
EV/EBIT Ratio,15.57,19.87,11.13,23.39,19.79,15.33,18.13,35.71,15.46,25.95,14.23,Upgrade
EV/FCF Ratio,40.43,58.43,11.23,-50.40,72.69,24.79,32.67,21.96,14.40,36.99,8.99,Upgrade
Debt / Equity Ratio,0.94,1.30,0.62,1.09,1.02,1.10,1.22,0.82,0.98,0.82,0.70,Upgrade
Debt / EBITDA Ratio,9.76,12.28,6.75,14.61,10.62,9.86,11.18,15.70,11.56,14.55,8.69,Upgrade
Debt / FCF Ratio,31.88,44.22,8.37,-42.28,48.61,18.52,24.02,15.08,13.08,28.98,6.72,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,Upgrade
Return on Equity (ROE),6.20%,7.00%,6.30%,4.50%,6.00%,8.00%,3.40%,2.30%,4.90%,2.40%,4.50%,Upgrade
Return on Assets (ROA),0.50%,0.60%,0.50%,0.40%,0.50%,0.70%,0.30%,0.20%,0.50%,0.30%,0.50%,Upgrade
Return on Capital (ROIC),0.60%,0.70%,0.60%,0.40%,0.60%,0.80%,0.70%,0.30%,0.70%,0.40%,0.70%,Upgrade
Earnings Yield,13.44%,11.05%,10.73%,8.61%,8.37%,10.86%,4.34%,3.28%,9.58%,4.78%,8.76%,Upgrade
FCF Yield,6.38%,4.64%,13.19%,-5.05%,2.87%,8.17%,6.35%,7.45%,14.82%,5.51%,20.82%,Upgrade
Dividend Yield,4.17%,2.92%,2.60%,3.20%,2.30%,1.89%,1.47%,1.36%,1.25%,1.29%,1.00%,Upgrade
Payout Ratio,30.80%,26.10%,24.40%,37.00%,27.10%,17.40%,33.30%,41.70%,12.90%,26.70%,11.50%,Upgrade
Buyback Yield / Dilution,-0.05%,-0.19%,-0.30%,2.16%,3.31%,3.03%,1.87%,-0.12%,-0.13%,0.66%,3.61%,Upgrade
Total Shareholder Return,4.17%,2.74%,2.30%,5.36%,5.61%,4.92%,3.34%,1.24%,1.12%,1.95%,4.61%,Upgrade
