Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"3,532","5,727","5,596","3,938","3,799","2,944","2,966","2,963","2,294","2,248","2,020",Upgrade
Market Cap Growth,-,2.35%,42.10%,3.65%,29.06%,-0.76%,0.12%,29.17%,2.04%,11.26%,9.92%,Upgrade
Enterprise Value,"6,849","6,876","5,965","6,385","6,946","6,347","5,656","5,127","4,809","4,135","4,771",Upgrade
PE Ratio,5.82,10.31,12.13,10.42,12.79,11.83,19.46,18.41,23.14,19.35,15.31,Upgrade
PS Ratio,1.83,3.17,4.20,3.35,3.49,3.07,3.89,4.18,3.66,4.08,3.61,Upgrade
PB Ratio,0.54,0.90,1.10,0.86,0.87,0.88,1.17,1.25,1.04,1.21,1.31,Upgrade
P/FCF Ratio,5.85,4.18,6.94,24.91,10.93,10.32,4.86,7.07,15.85,10.94,7.00,Upgrade
P/OCF Ratio,5.33,4.01,6.68,24.08,14.50,9.68,4.79,7.07,14.81,12.22,7.08,Upgrade
EV/Sales Ratio,3.55,3.81,4.48,5.43,6.38,6.62,7.42,7.23,7.68,7.51,8.52,Upgrade
EV/EBITDA Ratio,7.62,8.06,8.57,10.86,13.62,17.77,20.38,19.89,32.50,24.80,24.02,Upgrade
EV/EBIT Ratio,8.27,8.81,9.31,12.05,15.21,19.25,22.38,21.97,37.90,28.08,26.66,Upgrade
EV/FCF Ratio,11.35,5.02,7.39,40.39,19.98,22.25,9.27,12.23,33.22,20.12,16.53,Upgrade
Debt / Equity Ratio,1.39,0.33,0.48,0.82,0.82,1.14,1.23,1.08,1.33,1.46,2.02,Upgrade
Debt / EBITDA Ratio,10.04,2.46,3.48,6.43,7.02,10.73,11.19,9.92,19.79,16.30,15.71,Upgrade
Debt / FCF Ratio,14.95,1.53,3.00,23.89,10.30,13.43,5.09,6.10,20.24,13.22,10.81,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,Upgrade
Return on Equity (ROE),9.20%,9.30%,9.60%,8.40%,8.00%,7.60%,6.20%,7.10%,4.90%,7.10%,8.70%,Upgrade
Return on Assets (ROA),1.00%,1.10%,1.10%,0.90%,0.90%,0.80%,0.60%,0.70%,0.50%,0.70%,0.80%,Upgrade
Return on Capital (ROIC),1.40%,1.50%,1.50%,1.20%,1.20%,1.00%,1.00%,1.00%,0.60%,0.80%,1.00%,Upgrade
Earnings Yield,16.56%,9.70%,8.24%,9.60%,7.82%,8.45%,5.14%,5.43%,4.32%,5.17%,6.53%,Upgrade
FCF Yield,17.09%,23.93%,14.42%,4.01%,9.15%,9.69%,20.58%,14.14%,6.31%,9.14%,14.28%,Upgrade
Dividend Yield,6.58%,3.75%,3.22%,4.53%,3.94%,4.97%,3.93%,3.79%,4.50%,4.03%,5.82%,Upgrade
Payout Ratio,38.30%,38.60%,38.90%,46.80%,50.00%,58.70%,75.90%,69.80%,104.80%,78.60%,89.40%,Upgrade
Buyback Yield / Dilution,-20.34%,-18.97%,-1.23%,-19.09%,-2.23%,-25.60%,-3.77%,-8.89%,-13.96%,-3.21%,-0.99%,Upgrade
Total Shareholder Return,-13.77%,-15.23%,2.00%,-14.56%,1.71%,-20.62%,0.16%,-5.09%,-9.46%,0.81%,4.83%,Upgrade
