Year,Current,2022
Market Capitalization,166,162
Enterprise Value,166,162
PE Ratio,181.47,181.47
PB Ratio,-40.04,-40.04
P/FCF Ratio,147.06,143.70
P/OCF Ratio,147.06,143.70
EV/EBITDA Ratio,185.45,181.20
EV/EBIT Ratio,185.45,181.20
EV/FCF Ratio,146.85,143.48
Current Ratio,3.65,3.65
Return on Equity (ROE),-24.30%,-24.30%
Return on Assets (ROA),0.70%,0.70%
Return on Capital (ROIC),0.70%,0.70%
Earnings Yield,0.54%,0.55%
FCF Yield,0.68%,0.70%
Buyback Yield / Dilution,-174.09%,-
Total Shareholder Return,-174.09%,-
