Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,"1,094","1,196","2,992","1,207",964,781,656,473,298,243,-,Upgrade
Market Cap Growth,-,-60.02%,147.96%,25.15%,23.52%,19.01%,38.53%,59.05%,22.29%,-,-,Upgrade
Enterprise Value,"1,359",967,"2,965","1,320","1,325",968,986,681,356,119,-17,Upgrade
PE Ratio,14.23,12.07,27.26,19.36,16.47,15.27,18.50,23.90,10.50,14.36,-,Upgrade
PS Ratio,2.33,2.51,6.92,3.93,3.45,3.34,3.55,3.74,2.49,2.45,-,Upgrade
PB Ratio,1.32,1.35,3.48,1.66,1.51,1.23,1.67,1.64,1.11,1.02,-,Upgrade
P/FCF Ratio,1628.14,18.82,24.40,15.13,18.86,14.18,16.68,17.76,13.02,14.37,-,Upgrade
P/OCF Ratio,44.86,16.06,21.84,12.40,13.31,10.57,13.87,15.28,11.77,12.37,-,Upgrade
EV/Sales Ratio,2.90,2.03,6.86,4.30,4.74,4.14,5.34,5.38,2.98,1.20,-0.35,Upgrade
EV/EBITDA Ratio,9.54,5.96,17.67,12.72,14.29,12.22,14.02,16.98,8.16,3.62,-1.04,Upgrade
EV/EBIT Ratio,11.58,7.06,20.46,15.58,17.56,14.56,16.13,20.32,9.49,4.24,-1.14,Upgrade
EV/FCF Ratio,2022.20,15.22,24.19,16.55,25.93,17.58,25.07,25.54,15.59,7.04,-1.77,Upgrade
Debt / Equity Ratio,0.83,0.20,0.42,0.59,0.88,0.66,1.18,1.11,0.61,0.15,0.52,Upgrade
Debt / EBITDA Ratio,4.79,1.11,2.13,4.12,6.03,5.33,6.60,8.03,3.76,1.11,4.29,Upgrade
Debt / FCF Ratio,1015.66,2.82,2.91,5.36,10.94,7.67,11.80,12.08,7.17,2.17,7.30,Upgrade
Asset Turnover,0.08,0.08,0.07,0.05,0.06,0.06,0.06,0.06,0.08,0.07,0.06,Upgrade
Return on Equity (ROE),9.90%,11.20%,13.60%,9.30%,9.10%,9.00%,10.20%,7.00%,10.90%,9.10%,12.50%,Upgrade
Return on Assets (ROA),1.50%,1.70%,1.80%,1.10%,1.20%,1.30%,1.20%,0.90%,1.80%,1.20%,1.50%,Upgrade
Return on Capital (ROIC),2.30%,2.60%,2.50%,1.40%,1.50%,1.60%,1.90%,1.50%,2.50%,2.20%,1.90%,Upgrade
Earnings Yield,7.84%,8.28%,3.67%,5.17%,6.07%,6.55%,5.40%,4.18%,9.53%,6.96%,-,Upgrade
FCF Yield,0.06%,5.31%,4.10%,6.61%,5.30%,7.05%,6.00%,5.63%,7.68%,6.96%,-,Upgrade
Buyback Yield / Dilution,8.28%,2.57%,-1.10%,2.00%,3.51%,-26.22%,-15.00%,-0.36%,-0.42%,-8.30%,-,Upgrade
Total Shareholder Return,8.28%,2.57%,-1.10%,2.00%,3.51%,-26.22%,-15.00%,-0.36%,-0.42%,-8.30%,-,Upgrade
