Year,Current,2022,2021
Market Capitalization,79,76,74
Market Cap Growth,-,2.54%,-
Enterprise Value,45,43,17
PE Ratio,626.71,-684.91,-256.31
PB Ratio,-22.85,-26.34,-43.92
P/FCF Ratio,-146.01,-145.93,-341.79
P/OCF Ratio,-146.01,-145.93,-341.79
EV/EBITDA Ratio,133.59,1697.59,-57.05
EV/EBIT Ratio,133.59,1697.59,-57.05
EV/FCF Ratio,-82.67,-81.70,-76.08
Debt / Equity Ratio,-0.32,-0.23,-
Debt / EBITDA Ratio,3.26,27.05,-
Debt / FCF Ratio,-2.05,-1.30,-
Current Ratio,9.62,11.00,27.39
Return on Equity (ROE),-4.80%,5.00%,36.50%
Return on Assets (ROA),0.30%,-0.20%,-1.00%
Return on Capital (ROIC),0.80%,0.10%,-1.00%
Earnings Yield,0.16%,-0.15%,-0.39%
FCF Yield,-0.68%,-0.69%,-0.29%
Buyback Yield / Dilution,32.19%,-48.21%,-
Total Shareholder Return,32.19%,-48.21%,-
