Year,Current,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 2004
Market Capitalization,744,746,823,449,"1,048","1,130","1,441","1,255","1,817","1,868","1,696",Upgrade
Market Cap Growth,-,-9.35%,83.24%,-57.12%,-7.32%,-21.58%,14.82%,-30.92%,-2.71%,10.11%,20.06%,Upgrade
Enterprise Value,"2,148","2,145","2,388","2,206","2,140","1,906","2,280","2,552","3,312","3,226","2,848",Upgrade
PE Ratio,6.80,9.06,7.36,-3.87,14.56,12.99,78.45,-28.19,24.09,6.90,16.24,Upgrade
PS Ratio,3.30,3.50,3.80,1.62,4.11,4.36,5.15,3.31,4.19,4.90,5.11,Upgrade
PB Ratio,0.75,0.76,0.80,0.44,0.80,0.80,0.97,0.76,0.94,0.91,1.01,Upgrade
P/FCF Ratio,-81.09,-278.72,1.75,-0.93,-7.90,4.28,2.24,2.88,42.22,-6.38,-85.11,Upgrade
P/OCF Ratio,-81.09,-278.72,1.75,-0.93,-7.90,4.28,2.24,2.88,42.22,-6.38,-85.11,Upgrade
EV/Sales Ratio,9.50,10.06,11.02,7.97,8.39,7.35,8.15,6.72,7.64,8.46,8.58,Upgrade
EV/EBITDA Ratio,12.36,15.61,14.28,-51.72,16.43,13.61,29.18,70.25,21.40,9.50,17.51,Upgrade
EV/EBIT Ratio,12.36,15.61,14.28,-51.72,16.43,13.61,29.18,70.25,21.40,9.50,17.51,Upgrade
EV/FCF Ratio,-233.38,-801.21,5.07,-4.57,-16.13,7.23,3.55,5.85,76.95,-11.02,-142.92,Upgrade
Debt / Equity Ratio,1.48,1.50,1.55,1.75,0.86,0.56,0.57,0.80,0.77,0.67,0.69,Upgrade
Debt / EBITDA Ratio,8.46,10.80,9.49,-42.06,8.66,5.64,10.86,36.15,9.68,4.04,7.11,Upgrade
Debt / FCF Ratio,-159.86,-554.13,3.37,-3.72,-8.51,2.99,1.32,3.01,34.82,-4.69,-58.01,Upgrade
Asset Turnover,0.09,0.08,0.08,0.10,0.10,0.11,0.11,0.12,0.12,0.12,0.12,Upgrade
Return on Equity (ROE),10.90%,8.30%,10.80%,-9.70%,5.30%,6.00%,1.20%,-2.50%,3.70%,14.10%,6.20%,Upgrade
Return on Assets (ROA),4.20%,3.20%,4.30%,-4.00%,2.90%,3.60%,0.70%,-1.40%,2.00%,8.10%,3.70%,Upgrade
Return on Capital (ROIC),4.30%,3.40%,4.10%,-1.00%,3.70%,4.30%,2.20%,0.80%,2.90%,7.50%,4.20%,Upgrade
Earnings Yield,14.50%,11.04%,13.59%,-25.84%,6.87%,7.70%,1.27%,-3.55%,4.15%,14.50%,6.16%,Upgrade
FCF Yield,-1.23%,-0.36%,57.18%,-107.41%,-12.66%,23.34%,44.58%,34.75%,2.37%,-15.68%,-1.17%,Upgrade
Dividend Yield,12.59%,12.37%,11.26%,26.67%,11.89%,11.49%,9.91%,14.41%,10.42%,9.63%,9.57%,Upgrade
Payout Ratio,85.60%,110.20%,84.20%,-104.00%,176.50%,151.30%,780.00%,-421.10%,250.00%,66.10%,156.90%,Upgrade
Buyback Yield / Dilution,-2.83%,-1.70%,3.29%,3.82%,4.14%,1.44%,2.86%,4.47%,-5.34%,-10.77%,-2.97%,Upgrade
Total Shareholder Return,9.75%,10.66%,14.55%,30.49%,16.03%,12.94%,12.77%,18.89%,5.08%,-1.14%,6.60%,Upgrade
