Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,395,547,701,370,447,-,-
Market Cap Growth,-,-21.91%,89.36%,-17.18%,-,-,-
Enterprise Value,555,752,770,341,246,-134,29
PE Ratio,6.80,8.74,11.36,10.17,10.00,-,-
PS Ratio,2.91,3.87,5.35,4.12,4.43,-,-
PB Ratio,1.12,1.57,2.42,1.51,2.06,-,-
P/FCF Ratio,6.33,4.14,10.78,2.61,14.37,-,-
P/OCF Ratio,6.00,4.06,10.71,2.60,13.88,-,-
EV/Sales Ratio,4.09,5.31,5.88,3.79,2.44,-1.42,0.36
EV/EBITDA Ratio,6.12,7.91,9.01,6.60,3.87,-2.36,0.58
EV/EBIT Ratio,6.39,8.25,9.32,6.99,4.05,-2.40,0.58
EV/FCF Ratio,8.90,5.68,11.84,2.40,7.92,0.82,0.20
Debt / Equity Ratio,1.09,1.10,1.76,0.50,0.35,0.03,0.93
Debt / EBITDA Ratio,4.24,4.04,5.97,2.35,1.19,0.07,2.47
Debt / FCF Ratio,6.16,2.90,7.85,0.85,2.43,-0.03,0.86
Asset Turnover,0.04,0.04,0.05,0.05,0.07,0.07,-
Return on Equity (ROE),17.10%,18.80%,22.70%,15.60%,23.20%,27.20%,-
Return on Assets (ROA),1.80%,1.90%,2.30%,2.10%,2.90%,3.00%,-
Return on Capital (ROIC),2.50%,2.70%,3.20%,2.90%,4.50%,4.30%,-
Earnings Yield,14.92%,11.44%,8.80%,9.83%,10.00%,-,-
FCF Yield,15.79%,24.17%,9.28%,38.36%,6.96%,-,-
Dividend Yield,4.20%,2.77%,1.67%,2.77%,0.63%,-,-
Payout Ratio,27.20%,24.40%,19.10%,28.20%,6.00%,0.00%,0.00%
Buyback Yield / Dilution,1.26%,0.61%,0.81%,-0.56%,-0.89%,-,-
Total Shareholder Return,5.47%,3.39%,2.48%,2.21%,-0.26%,-,-
