Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"1,504","2,161","2,078","1,638","1,934","1,733","1,814","1,870","1,505",842,876,Upgrade
Market Cap Growth,-,3.98%,26.88%,-15.30%,11.61%,-4.47%,-3.02%,24.25%,78.78%,-3.88%,46.52%,Upgrade
Enterprise Value,"1,872","2,430",536,"1,013","2,314","2,234","1,747","1,878","1,568",903,923,Upgrade
PE Ratio,7.29,11.06,10.34,14.13,13.22,12.69,29.84,21.91,33.29,15.57,18.95,Upgrade
PS Ratio,2.36,3.50,3.32,3.20,3.58,3.42,3.86,4.20,4.94,3.59,4.14,Upgrade
PB Ratio,0.98,1.48,1.23,0.98,1.21,1.17,1.43,1.43,1.16,1.44,1.63,Upgrade
P/FCF Ratio,6.05,9.68,7.14,14.55,15.48,225.59,5.42,-20.32,363.15,9.14,10.05,Upgrade
P/OCF Ratio,5.74,9.08,6.89,13.06,12.93,56.30,5.23,-24.67,92.82,8.59,9.19,Upgrade
EV/Sales Ratio,2.94,3.93,0.86,1.98,4.28,4.41,3.72,4.22,5.15,3.85,4.37,Upgrade
EV/EBITDA Ratio,6.75,9.24,1.98,6.02,11.09,11.98,10.15,12.50,19.33,9.91,11.56,Upgrade
EV/EBIT Ratio,7.33,10.09,2.18,7.11,12.64,13.53,11.55,14.48,23.06,11.14,13.11,Upgrade
EV/FCF Ratio,7.53,10.88,1.84,9.00,18.52,290.82,5.22,-20.40,378.18,9.80,10.59,Upgrade
Debt / Equity Ratio,0.40,0.35,0.35,0.37,0.43,0.52,0.15,0.20,0.25,0.32,0.34,Upgrade
Debt / EBITDA Ratio,2.20,1.95,2.19,3.62,3.30,4.15,1.13,1.70,4.00,2.06,2.31,Upgrade
Debt / FCF Ratio,2.46,2.29,2.04,5.41,5.51,100.67,0.58,-2.77,78.21,2.03,2.11,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),14.10%,13.20%,12.10%,7.10%,9.50%,10.40%,4.60%,6.40%,5.50%,9.50%,8.80%,Upgrade
Return on Assets (ROA),1.30%,1.20%,1.20%,0.80%,1.20%,1.30%,0.60%,0.90%,0.70%,1.20%,1.10%,Upgrade
Return on Capital (ROIC),1.60%,1.60%,1.70%,1.00%,1.50%,1.50%,1.50%,1.30%,1.10%,1.70%,1.60%,Upgrade
Earnings Yield,13.76%,9.04%,9.67%,7.08%,7.56%,7.88%,3.35%,4.57%,3.00%,6.42%,5.28%,Upgrade
FCF Yield,16.54%,10.34%,14.01%,6.87%,6.46%,0.44%,18.44%,-4.92%,0.28%,10.94%,9.95%,Upgrade
Dividend Yield,4.20%,2.81%,2.76%,5.73%,2.91%,3.47%,3.60%,1.18%,1.14%,1.66%,1.22%,Upgrade
Payout Ratio,29.80%,30.90%,28.20%,80.20%,38.30%,44.00%,107.00%,25.80%,37.90%,25.80%,23.00%,Upgrade
Buyback Yield / Dilution,0.41%,1.32%,1.72%,-1.60%,-6.30%,0.28%,2.56%,-41.84%,-23.01%,-0.03%,0.48%,Upgrade
Total Shareholder Return,4.61%,4.12%,4.47%,4.12%,-3.39%,3.75%,6.16%,-40.67%,-21.87%,1.63%,1.70%,Upgrade
