Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"31,027","35,962","33,727","33,426","36,429","28,461","37,573","27,294","24,048","29,465","24,807",Upgrade
Market Cap Growth,-,6.63%,0.90%,-8.24%,27.99%,-24.25%,37.66%,13.50%,-18.39%,18.78%,27.86%,Upgrade
Enterprise Value,"38,494","43,190","40,940","40,940","42,722","34,413","43,306","33,205","28,677","33,948","30,333",Upgrade
PE Ratio,-12.20,-25.40,22.71,6.12,7.79,14.15,10.93,15.50,11.70,10.73,10.96,Upgrade
PS Ratio,0.58,0.70,0.67,0.80,0.88,0.72,0.95,0.73,0.67,0.84,0.72,Upgrade
PB Ratio,1.76,2.06,1.34,1.11,1.40,1.34,1.67,1.33,1.20,1.32,1.16,Upgrade
P/FCF Ratio,5.99,7.32,7.07,6.45,7.76,5.81,9.36,7.42,7.26,9.99,6.15,Upgrade
P/OCF Ratio,5.80,7.02,6.59,6.09,7.10,5.50,8.71,6.84,6.65,9.11,5.85,Upgrade
EV/Sales Ratio,0.73,0.84,0.81,0.98,1.03,0.86,1.10,0.89,0.80,0.96,0.88,Upgrade
EV/EBITDA Ratio,-19.55,-69.33,9.51,5.15,6.16,9.91,8.07,9.68,7.27,6.89,7.34,Upgrade
EV/EBIT Ratio,-13.80,-29.38,12.72,5.63,6.79,11.63,8.87,10.89,8.02,7.45,8.06,Upgrade
EV/FCF Ratio,7.50,8.80,8.58,7.90,9.10,7.03,10.79,9.02,8.66,11.52,7.52,Upgrade
Debt / Equity Ratio,0.48,0.46,0.32,0.26,0.26,0.30,0.28,0.31,0.26,0.23,0.29,Upgrade
Debt / EBITDA Ratio,-4.47,-12.78,1.85,0.98,0.96,1.86,1.18,1.85,1.30,1.04,1.50,Upgrade
Debt / FCF Ratio,1.65,1.62,1.67,1.51,1.41,1.32,1.58,1.72,1.55,1.74,1.54,Upgrade
Asset Turnover,0.54,0.53,0.41,0.35,0.35,0.35,0.35,0.35,0.34,0.31,0.28,Upgrade
Return on Equity (ROE),-13.10%,-7.20%,5.60%,20.10%,18.70%,8.80%,15.70%,8.50%,9.80%,12.30%,10.90%,Upgrade
Return on Assets (ROA),-2.40%,-1.50%,1.20%,4.50%,3.90%,1.80%,3.10%,1.60%,1.90%,2.40%,1.80%,Upgrade
Return on Capital (ROIC),-2.60%,-1.50%,2.50%,5.80%,5.10%,2.50%,4.20%,2.70%,3.30%,3.90%,2.90%,Upgrade
Earnings Yield,-7.79%,-3.94%,4.40%,16.34%,12.84%,7.07%,9.15%,6.45%,8.55%,9.32%,9.12%,Upgrade
FCF Yield,16.71%,13.65%,14.15%,15.51%,12.89%,17.21%,10.69%,13.48%,13.78%,10.01%,16.27%,Upgrade
Dividend Yield,2.91%,2.56%,2.87%,2.04%,1.83%,2.28%,1.45%,1.82%,2.03%,1.67%,1.90%,Upgrade
Payout Ratio,-38.70%,-65.10%,64.30%,12.30%,14.00%,31.80%,15.60%,28.00%,23.40%,17.60%,20.50%,Upgrade
Buyback Yield / Dilution,6.49%,9.33%,5.20%,5.40%,5.58%,3.97%,2.52%,7.25%,7.17%,6.83%,4.60%,Upgrade
Total Shareholder Return,9.44%,11.89%,8.07%,7.44%,7.41%,6.25%,3.97%,9.08%,9.20%,8.49%,6.50%,Upgrade
