Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,392,197,178,194,336,793,"2,133",873,-,-
Market Cap Growth,-,10.77%,-8.02%,-42.39%,-57.60%,-62.83%,144.27%,-,-,-
Enterprise Value,418,223,459,91,522,577,"2,885","1,184",116,51
PE Ratio,-6.92,-6.92,-5.41,1.60,-4.55,-4.71,-33.97,10.64,-,-
PS Ratio,0.63,0.32,0.17,0.13,0.35,0.84,1.36,1.48,-,-
PB Ratio,0.75,0.38,0.18,0.31,0.63,1.15,1.97,1.19,-,-
P/FCF Ratio,-5.89,-5.89,2.42,0.31,-0.34,0.78,-1.40,-17.68,-,-
P/OCF Ratio,41.68,20.99,1.11,0.25,-0.36,0.69,-1.42,-47.38,-,-
EV/Sales Ratio,0.67,0.36,0.44,0.06,0.54,0.61,1.84,2.00,0.24,0.10
EV/EBITDA Ratio,49.69,26.55,8.73,0.40,-90.22,-6.55,33.40,10.42,1.62,0.76
EV/EBIT Ratio,-4.57,-4.57,-16.62,0.63,-7.65,-5.15,83.25,10.42,1.62,0.76
EV/FCF Ratio,-6.67,-6.67,6.24,0.14,-0.53,0.57,-1.89,-23.97,0.60,0.25
Debt / Equity Ratio,0.57,0.57,0.92,0.87,1.48,1.67,1.51,1.69,1.50,1.10
Debt / EBITDA Ratio,35.72,35.72,17.10,2.41,-136.05,-13.16,18.95,10.89,3.75,3.24
Debt / FCF Ratio,-8.97,-8.97,12.21,0.87,-0.80,1.14,-1.07,-25.05,1.39,1.07
Asset Turnover,0.15,0.15,0.19,0.42,0.27,0.20,0.25,0.14,0.22,-
Return on Equity (ROE),-5.20%,-5.20%,-4.40%,24.00%,-15.30%,-27.50%,-7.30%,18.70%,34.10%,-
Return on Assets (ROA),-0.70%,-0.70%,-0.60%,3.60%,-2.10%,-3.60%,-1.00%,2.00%,2.40%,-
Return on Capital (ROIC),-1.20%,-1.20%,-0.50%,4.30%,-2.00%,-2.40%,0.50%,2.60%,3.20%,-
Earnings Yield,-7.28%,-14.45%,-18.47%,62.52%,-22.00%,-21.22%,-2.94%,9.40%,-,-
FCF Yield,-8.55%,-16.98%,41.30%,324.98%,-290.78%,127.87%,-71.61%,-5.65%,-,-
Dividend Yield,3.45%,3.45%,6.92%,8.96%,10.19%,6.62%,0.99%,-,-,-
Payout Ratio,-4.80%,-4.80%,-7.50%,2.90%,-9.30%,-6.20%,3.50%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.54%,0.54%,-,-,-,-25.55%,-9.47%,-,-,-
Total Shareholder Return,0.54%,3.99%,6.92%,8.96%,10.19%,-18.93%,-8.48%,-,-,-
