Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1993
Market Capitalization,22,24,40,31,33,29,31,32,33,33,33,Upgrade
Market Cap Growth,-,-40.41%,27.80%,-3.86%,10.78%,-5.22%,-3.24%,-4.15%,1.21%,0.20%,5.29%,Upgrade
Enterprise Value,9,-6,-2,24,44,68,38,41,41,40,42,Upgrade
PE Ratio,11.60,13.64,15.88,18.74,20.34,18.54,33.99,29.07,24.69,17.23,12.60,Upgrade
PS Ratio,1.72,1.79,2.85,2.26,2.32,2.22,2.45,2.70,2.67,2.42,2.29,Upgrade
PB Ratio,1.30,1.48,1.12,0.84,0.91,0.86,0.91,0.95,0.98,0.98,1.04,Upgrade
P/FCF Ratio,9.72,12.09,11.86,30.38,12.24,7.47,8.93,14.18,16.31,15.89,8.55,Upgrade
P/OCF Ratio,8.81,10.70,10.93,19.51,10.87,7.10,8.43,12.38,15.62,13.10,8.01,Upgrade
EV/Sales Ratio,0.66,-0.47,-0.16,1.74,3.16,5.16,3.04,3.49,3.27,2.91,2.92,Upgrade
EV/EBITDA Ratio,2.79,-2.11,-0.54,10.86,14.83,24.59,13.96,18.73,14.99,13.08,9.46,Upgrade
EV/EBIT Ratio,4.02,-3.17,-0.72,11.15,21.56,39.93,21.03,40.65,25.68,17.86,12.92,Upgrade
EV/FCF Ratio,3.72,-3.19,-0.66,23.40,16.65,17.42,11.07,18.34,20.03,19.12,10.90,Upgrade
Debt / Equity Ratio,-,-,0.56,0.81,0.70,1.62,0.59,0.59,0.59,0.59,0.63,Upgrade
Debt / EBITDA Ratio,-,-,4.89,13.49,8.38,19.77,7.28,9.05,7.31,6.59,4.51,Upgrade
Debt / FCF Ratio,-,-,5.94,29.07,9.41,14.01,5.77,8.86,9.77,9.63,5.20,Upgrade
Asset Turnover,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.04,Upgrade
Return on Equity (ROE),11.20%,8.80%,7.20%,4.60%,4.60%,4.70%,2.70%,3.20%,4.00%,5.70%,8.20%,Upgrade
Return on Assets (ROA),0.50%,0.40%,0.60%,0.40%,0.40%,0.40%,0.20%,0.30%,0.30%,0.50%,0.70%,Upgrade
Return on Capital (ROIC),0.60%,0.50%,0.70%,0.50%,0.50%,0.40%,0.50%,0.30%,0.40%,0.60%,0.80%,Upgrade
Earnings Yield,8.24%,7.33%,6.30%,5.34%,4.92%,5.39%,2.94%,3.44%,4.05%,5.80%,7.94%,Upgrade
FCF Yield,10.29%,8.27%,8.43%,3.29%,8.17%,13.38%,11.19%,7.05%,6.13%,6.29%,11.69%,Upgrade
Dividend Yield,5.07%,4.81%,2.86%,3.64%,3.48%,3.84%,3.62%,3.48%,2.24%,3.35%,3.34%,Upgrade
Payout Ratio,58.80%,65.60%,45.50%,67.80%,70.20%,71.40%,121.20%,100.00%,55.10%,58.00%,42.10%,Upgrade
Buyback Yield / Dilution,-0.43%,-0.39%,-0.42%,-0.52%,-0.47%,-0.46%,-0.65%,-0.35%,-0.45%,-0.49%,-0.50%,Upgrade
Total Shareholder Return,4.64%,4.42%,2.44%,3.12%,3.01%,3.37%,2.97%,3.13%,1.79%,2.85%,2.84%,Upgrade
