Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,70,85,100,79,85,66,72,73,52,43,43,Upgrade
Market Cap Growth,-,-15.10%,26.40%,-7.57%,29.82%,-8.85%,-1.67%,42.02%,18.90%,0.72%,28.05%,Upgrade
Enterprise Value,99,96,56,63,140,53,83,115,75,40,56,Upgrade
PE Ratio,7.33,9.76,10.54,9.90,12.51,15.33,20.31,20.46,16.00,16.36,16.49,Upgrade
PS Ratio,2.36,2.87,3.43,2.98,3.57,3.05,3.74,4.02,3.03,2.59,2.54,Upgrade
PB Ratio,1.19,1.42,1.39,1.15,1.42,1.30,1.64,1.72,1.24,1.07,1.11,Upgrade
P/FCF Ratio,18.26,10.46,12.39,11.46,11.67,13.21,19.03,38.15,17.39,11.20,7.36,Upgrade
P/OCF Ratio,16.39,9.97,12.15,8.41,9.89,11.41,15.77,17.53,12.06,10.37,6.01,Upgrade
EV/Sales Ratio,3.32,3.27,1.92,2.40,5.88,2.45,4.31,6.31,4.41,2.40,3.33,Upgrade
EV/EBITDA Ratio,9.18,9.00,4.67,6.42,16.34,8.64,12.73,19.21,13.50,8.60,13.80,Upgrade
EV/EBIT Ratio,10.27,10.10,5.24,7.40,18.96,10.37,14.84,22.30,16.50,11.23,19.02,Upgrade
EV/FCF Ratio,25.69,11.91,6.96,9.24,19.25,10.60,21.91,59.93,25.37,10.37,9.65,Upgrade
Debt / Equity Ratio,2.19,0.70,0.55,0.53,1.17,0.24,0.57,1.25,0.88,0.89,0.95,Upgrade
Debt / EBITDA Ratio,11.97,3.91,3.29,3.67,8.17,2.02,3.87,8.91,6.52,7.70,9.01,Upgrade
Debt / FCF Ratio,33.48,5.18,4.90,5.28,9.62,2.47,6.67,27.80,12.26,9.28,6.30,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),15.30%,14.70%,13.60%,12.10%,11.80%,9.30%,8.10%,8.40%,7.80%,6.70%,7.00%,Upgrade
Return on Assets (ROA),1.10%,1.20%,1.30%,1.10%,1.00%,0.80%,0.80%,0.80%,0.80%,0.70%,0.60%,Upgrade
Return on Capital (ROIC),1.20%,1.30%,1.60%,1.20%,1.10%,0.90%,1.20%,1.10%,1.10%,0.90%,0.70%,Upgrade
Earnings Yield,12.48%,10.24%,9.49%,10.10%,7.99%,6.52%,4.92%,4.89%,6.25%,6.11%,6.07%,Upgrade
FCF Yield,5.48%,9.56%,8.07%,8.72%,8.57%,7.57%,5.26%,2.62%,5.75%,8.93%,13.59%,Upgrade
Dividend Yield,7.11%,5.26%,4.11%,4.32%,3.81%,4.99%,3.85%,3.48%,4.38%,4.09%,3.61%,Upgrade
Payout Ratio,51.60%,51.70%,42.30%,41.00%,45.80%,69.50%,71.80%,65.30%,64.60%,61.10%,54.70%,Upgrade
Buyback Yield / Dilution,3.19%,3.92%,-,-0.29%,-3.77%,-5.66%,-0.18%,-0.89%,-0.06%,-0.22%,0.17%,Upgrade
Total Shareholder Return,10.24%,9.18%,4.11%,4.04%,0.04%,-0.67%,3.66%,2.59%,4.32%,3.87%,3.79%,Upgrade
