Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,348,468,495,342,376,-,-
Market Cap Growth,-,-5.40%,44.56%,-8.94%,-,-,-
Enterprise Value,143,355,130,265,423,-53,-117
PE Ratio,6.85,8.04,8.44,7.55,12.86,-,-
PS Ratio,1.70,2.15,2.24,1.73,2.37,-,-
PB Ratio,0.95,1.31,1.21,0.93,1.23,-,-
P/FCF Ratio,4.66,3.91,5.22,134.79,14.08,-,-
P/OCF Ratio,4.45,3.79,5.14,60.82,12.33,-,-
EV/Sales Ratio,0.70,1.64,0.59,1.34,2.67,-0.38,-0.89
EV/EBITDA Ratio,1.93,4.44,1.63,4.20,10.08,-1.73,-4.02
EV/EBIT Ratio,2.13,4.86,1.78,4.69,11.52,-2.08,-4.92
EV/FCF Ratio,1.91,2.97,1.37,104.55,15.84,-2.21,-4.41
Debt / Equity Ratio,0.33,0.34,0.30,0.60,0.67,1.25,1.12
Debt / EBITDA Ratio,1.66,1.53,1.54,3.54,4.89,6.32,6.13
Debt / FCF Ratio,1.64,1.02,1.29,88.04,7.68,8.08,6.72
Asset Turnover,0.05,0.06,0.06,0.06,0.06,0.05,-
Return on Equity (ROE),14.90%,16.10%,14.90%,13.10%,11.10%,18.70%,-
Return on Assets (ROA),1.30%,1.50%,1.60%,1.30%,1.00%,1.10%,-
Return on Capital (ROIC),1.80%,2.00%,2.10%,1.70%,1.30%,1.00%,-
Earnings Yield,15.27%,12.44%,11.85%,13.25%,7.78%,-,-
FCF Yield,21.44%,25.56%,19.16%,0.74%,7.10%,-,-
Dividend Yield,2.45%,1.67%,1.08%,0.74%,0.29%,-,-
Payout Ratio,15.60%,13.70%,9.20%,5.60%,3.40%,0.00%,0.00%
Buyback Yield / Dilution,3.65%,4.44%,1.49%,-0.29%,-3.07%,-,-
Total Shareholder Return,6.10%,6.11%,2.57%,0.45%,-2.78%,-,-
