Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2005
Market Capitalization,"4,517","5,318","7,172","9,020","11,228","7,554","8,731","10,531","9,050","9,360","9,526",Upgrade
Market Cap Growth,-,-25.85%,-20.49%,-19.66%,48.63%,-13.48%,-17.09%,16.37%,-3.32%,-1.74%,17.33%,Upgrade
Enterprise Value,"5,785","6,648","8,972","10,659","13,006","10,015","10,927","12,440","10,950","11,297","11,666",Upgrade
PE Ratio,6.11,5.84,8.90,12.12,10.61,8.87,-15.67,41.59,10.80,10.98,11.93,Upgrade
PS Ratio,1.04,1.19,1.41,1.87,2.12,1.35,1.58,1.94,1.65,1.67,1.72,Upgrade
PB Ratio,8.23,11.13,20.17,48.34,-284.24,-24.38,-17.77,11.67,6.44,7.20,8.62,Upgrade
P/FCF Ratio,16.08,14.24,8.63,11.71,14.27,15.66,15.46,11.45,9.76,9.96,9.86,Upgrade
P/OCF Ratio,8.77,9.14,6.86,10.28,12.28,9.20,11.77,10.11,8.45,8.95,8.75,Upgrade
EV/Sales Ratio,1.33,1.49,1.77,2.20,2.46,1.79,1.98,2.29,2.00,2.01,2.11,Upgrade
EV/EBITDA Ratio,5.20,5.14,7.18,8.89,7.51,7.12,14.52,16.42,7.94,7.97,8.42,Upgrade
EV/EBIT Ratio,6.23,5.99,8.62,10.95,8.83,8.78,22.32,25.17,9.87,9.87,10.39,Upgrade
EV/FCF Ratio,20.44,17.81,10.80,13.84,16.53,20.76,19.34,13.53,11.81,12.02,12.07,Upgrade
Debt / Equity Ratio,4.45,5.48,8.46,16.44,-81.75,-11.08,-6.17,3.09,2.29,2.86,3.81,Upgrade
Debt / EBITDA Ratio,2.21,2.02,2.41,2.56,1.87,2.44,4.03,3.68,2.33,2.63,3.04,Upgrade
Debt / FCF Ratio,8.70,7.01,3.62,3.98,4.10,7.12,5.37,3.03,3.47,3.96,4.36,Upgrade
Asset Turnover,0.51,0.52,0.56,0.55,0.59,0.62,0.58,0.57,0.55,0.57,0.57,Upgrade
Return on Equity (ROE),153.30%,201.50%,262.20%,9729.40%,-1049.90%,-219.50%,-136.80%,20.90%,62.00%,73.80%,79.80%,Upgrade
Return on Assets (ROA),8.90%,10.50%,9.00%,8.40%,11.70%,9.40%,-5.90%,2.70%,8.40%,8.60%,8.20%,Upgrade
Return on Capital (ROIC),12.40%,14.70%,12.90%,12.80%,18.60%,14.00%,6.00%,6.50%,13.80%,14.30%,14.10%,Upgrade
Earnings Yield,16.90%,17.12%,11.24%,8.25%,9.43%,11.28%,-6.38%,2.40%,9.26%,9.11%,8.38%,Upgrade
FCF Yield,6.22%,7.02%,11.58%,8.54%,7.01%,6.38%,6.47%,8.73%,10.25%,10.04%,10.15%,Upgrade
Dividend Yield,7.79%,6.87%,5.36%,4.14%,3.07%,4.57%,3.75%,3.00%,3.54%,2.87%,2.94%,Upgrade
Payout Ratio,46.80%,40.00%,47.50%,49.70%,32.40%,40.20%,-58.80%,123.10%,38.00%,31.20%,35.00%,Upgrade
Buyback Yield / Dilution,4.82%,5.01%,1.52%,3.64%,5.17%,2.89%,5.19%,4.49%,3.74%,4.09%,7.85%,Upgrade
Total Shareholder Return,12.55%,11.88%,6.88%,7.79%,8.24%,7.46%,8.94%,7.49%,7.28%,6.96%,10.79%,Upgrade
