Year,Current,2022
Market Capitalization,302,294
Enterprise Value,64,56
PE Ratio,139.26,139.26
PB Ratio,-36.08,-36.08
P/FCF Ratio,3083.62,3001.31
P/OCF Ratio,3083.62,3001.31
EV/EBITDA Ratio,30.37,26.55
EV/EBIT Ratio,30.37,26.55
EV/FCF Ratio,654.55,572.24
Debt / Equity Ratio,-0.07,-0.07
Debt / EBITDA Ratio,0.27,0.27
Debt / FCF Ratio,5.91,5.91
Current Ratio,27.01,27.01
Return on Equity (ROE),-27.50%,-27.50%
Return on Assets (ROA),0.90%,0.90%
Return on Capital (ROIC),0.90%,0.90%
Earnings Yield,0.70%,0.72%
FCF Yield,0.03%,0.03%
Buyback Yield / Dilution,-222.52%,-
Total Shareholder Return,-222.52%,-
