Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,"1,454","1,877","3,314","3,536","5,168","8,175","14,004","13,198","16,909","16,995","12,808",Upgrade
Market Cap Growth,-,-43.35%,-6.28%,-31.57%,-36.79%,-41.62%,6.11%,-21.95%,-0.50%,32.69%,77.47%,Upgrade
Enterprise Value,"2,663","5,993","7,707","-5,520","-6,551",918,"6,181","7,882","14,088","14,520","11,099",Upgrade
PE Ratio,2.97,8.42,4.14,16.52,18.59,8.49,17.76,25.59,28.35,33.57,25.81,Upgrade
PS Ratio,0.52,0.84,1.22,1.74,1.81,1.44,2.56,1.85,2.63,3.21,2.97,Upgrade
PB Ratio,0.51,0.83,1.59,2.32,3.25,3.51,7.55,7.96,8.41,7.09,14.97,Upgrade
P/FCF Ratio,0.82,1.05,2.27,1.93,4.80,3.20,5.90,6.87,10.78,14.34,14.75,Upgrade
P/OCF Ratio,0.79,1.02,2.15,1.88,4.24,2.97,5.39,6.20,9.61,12.64,12.76,Upgrade
EV/Sales Ratio,0.99,2.69,2.83,-2.72,-2.29,0.16,1.13,1.10,2.19,2.74,2.57,Upgrade
EV/EBITDA Ratio,3.50,14.55,6.58,-11.24,-9.59,0.41,3.04,4.44,8.07,10.36,8.44,Upgrade
EV/EBIT Ratio,4.19,20.05,7.35,-17.98,-15.09,0.52,4.02,6.24,11.24,13.34,10.10,Upgrade
EV/FCF Ratio,1.58,3.37,5.28,-3.02,-6.09,0.36,2.60,4.10,8.98,12.25,12.78,Upgrade
Debt / Equity Ratio,1.80,3.54,3.57,5.60,6.58,5.74,8.02,7.57,5.72,3.92,8.64,Upgrade
Debt / EBITDA Ratio,6.42,19.43,6.35,17.34,15.30,5.91,7.32,7.07,6.59,6.71,5.62,Upgrade
Debt / FCF Ratio,2.89,4.50,5.10,4.66,9.71,5.24,6.27,6.54,7.33,7.93,8.52,Upgrade
Current Ratio,-,-,-,1.88,2.03,2.15,2.44,2.12,2.54,2.19,2.31,Upgrade
Asset Turnover,0.12,0.10,0.13,0.09,0.10,0.19,0.20,0.30,0.32,0.33,0.35,Upgrade
Return on Equity (ROE),19.30%,9.70%,39.30%,16.80%,14.40%,44.10%,50.60%,29.80%,30.50%,37.70%,72.10%,Upgrade
Return on Assets (ROA),2.00%,1.00%,3.70%,0.90%,1.00%,3.30%,2.90%,2.20%,2.90%,3.20%,4.10%,Upgrade
Return on Capital (ROIC),2.50%,1.20%,6.40%,2.00%,1.80%,7.10%,6.60%,5.90%,6.80%,7.60%,9.30%,Upgrade
Earnings Yield,33.60%,11.88%,24.17%,6.05%,5.38%,11.78%,5.63%,3.91%,3.53%,2.98%,3.87%,Upgrade
FCF Yield,121.60%,94.81%,44.02%,51.72%,20.82%,31.25%,16.95%,14.55%,9.27%,6.98%,6.78%,Upgrade
Dividend Yield,2.90%,2.24%,1.27%,1.71%,2.48%,1.54%,0.83%,0.23%,-,-,-,Upgrade
Payout Ratio,9.00%,18.80%,5.20%,28.20%,46.80%,13.00%,14.70%,7.10%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.20%,-0.40%,-4.38%,5.89%,7.62%,1.43%,5.09%,5.46%,0.16%,6.68%,-4.25%,Upgrade
Total Shareholder Return,2.83%,1.83%,-3.12%,7.60%,10.10%,2.97%,5.92%,5.69%,0.16%,6.68%,-4.25%,Upgrade
