Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,79,103,120,95,126,-,-,-
Market Cap Growth,-,-14.63%,26.51%,-24.40%,-,-,-,-
Enterprise Value,151,134,72,58,185,-9,10,2
PE Ratio,12.94,14.69,10.42,16.09,21.12,-,-,-
PS Ratio,1.69,2.22,2.38,2.54,3.56,-,-,-
PB Ratio,0.69,0.95,0.96,0.82,1.15,-,-,-
P/FCF Ratio,7.74,7.52,20.49,7.33,13.22,-,-,-
P/OCF Ratio,7.30,6.95,15.74,6.41,10.40,-,-,-
EV/Sales Ratio,3.37,2.90,1.42,1.53,5.23,-0.28,0.30,0.06
EV/EBITDA Ratio,16.73,12.73,4.30,6.47,21.01,-1.35,1.23,0.32
EV/EBIT Ratio,20.40,15.10,4.77,7.70,24.75,-1.65,1.45,0.42
EV/FCF Ratio,15.43,9.83,12.17,4.43,19.47,-1.18,1.84,0.43
Debt / Equity Ratio,1.01,0.58,0.18,0.48,0.65,0.70,0.36,0.28
Debt / EBITDA Ratio,12.33,5.96,1.39,6.28,8.10,6.36,2.57,2.75
Debt / FCF Ratio,11.37,4.60,3.95,4.30,7.50,5.60,3.85,3.79
Asset Turnover,0.03,0.04,0.04,0.03,0.04,0.04,0.04,-
Return on Equity (ROE),5.20%,6.30%,9.40%,5.20%,5.60%,7.60%,5.60%,-
Return on Assets (ROA),0.40%,0.50%,0.90%,0.50%,0.60%,0.50%,0.40%,-
Return on Capital (ROIC),0.60%,0.70%,1.30%,0.70%,0.80%,0.70%,0.90%,-
Earnings Yield,7.56%,6.81%,9.60%,6.22%,4.74%,-,-,-
FCF Yield,12.92%,13.29%,4.88%,13.63%,7.56%,-,-,-
Buyback Yield / Dilution,-0.11%,-0.46%,-2.00%,-0.30%,3.82%,-,-,-
Total Shareholder Return,-0.11%,-0.46%,-2.00%,-0.30%,3.82%,-,-,-
