Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,334,353,247,147,197,162,145,-,-
Market Cap Growth,-,42.62%,68.10%,-25.21%,21.69%,11.72%,-,-,-
Enterprise Value,130,188,98,82,135,131,102,-43,-33
PE Ratio,9.50,12.36,13.79,11.65,13.90,18.50,39.69,-,-
PS Ratio,3.58,4.36,4.28,3.21,4.46,4.72,5.91,-,-
PB Ratio,1.95,2.23,1.72,1.17,1.77,1.74,1.73,-,-
P/FCF Ratio,8.21,9.39,9.11,11.81,13.80,18.24,38.17,-,-
P/OCF Ratio,7.89,9.09,8.22,9.43,12.05,15.98,36.35,-,-
EV/Sales Ratio,1.39,2.33,1.70,1.79,3.06,3.83,4.16,-2.22,-2.34
EV/EBITDA Ratio,2.66,4.77,4.19,4.62,6.87,10.62,13.68,-8.97,-15.81
EV/EBIT Ratio,2.70,4.86,4.32,4.77,7.05,10.99,14.48,-9.29,-17.85
EV/FCF Ratio,3.20,5.02,3.61,6.57,9.47,14.80,26.87,-11.67,-22.08
Debt / Equity Ratio,-,-,-,-,0.00,0.00,0.00,0.01,0.01
Debt / EBITDA Ratio,-,-,-,-,0.00,0.01,0.04,0.08,0.18
Debt / FCF Ratio,-,-,-,-,0.01,0.01,0.07,0.10,0.26
Asset Turnover,0.07,0.06,0.05,0.05,0.06,0.06,0.05,0.05,-
Return on Equity (ROE),22.70%,19.20%,13.20%,10.50%,13.50%,9.90%,5.40%,5.60%,-
Return on Assets (ROA),2.60%,2.20%,1.60%,1.40%,1.90%,1.40%,0.80%,0.70%,-
Return on Capital (ROIC),4.00%,3.30%,2.40%,2.20%,2.70%,2.10%,1.60%,1.30%,-
Earnings Yield,10.59%,8.09%,7.25%,8.58%,7.19%,5.41%,2.52%,-,-
FCF Yield,12.17%,10.65%,10.98%,8.47%,7.25%,5.48%,2.62%,-,-
Dividend Yield,1.02%,0.65%,-,-,-,-,-,-,-
Payout Ratio,8.20%,7.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-1.37%,-3.85%,-2.41%,-1.61%,-1.29%,-1.63%,-1.59%,-,-
Total Shareholder Return,-0.36%,-3.20%,-2.41%,-1.61%,-1.29%,-1.63%,-1.59%,-,-
