Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,96,108,373,261,125,104,116,112,181,167,234,Upgrade
Market Cap Growth,-,-71.11%,42.98%,109.31%,19.80%,-10.54%,4.15%,-38.37%,8.57%,-28.62%,43.42%,Upgrade
Enterprise Value,122,141,247,252,118,114,125,171,234,250,295,Upgrade
PE Ratio,-0.69,-0.81,2.53,3.46,5.20,116.58,6.62,-1.49,21.38,-80.83,6.60,Upgrade
PS Ratio,23.16,31.15,253.40,142.90,83.26,64.26,136.27,151.53,622.32,896.67,4771.71,Upgrade
PB Ratio,0.45,0.51,1.02,0.86,0.62,0.53,0.57,0.58,0.68,0.58,0.81,Upgrade
P/FCF Ratio,-1.01,-0.97,2.03,-11.03,3.56,10.86,2.05,-28.17,3.34,-7.67,-3.37,Upgrade
P/OCF Ratio,-1.01,-0.97,2.03,-11.03,3.56,10.86,2.05,-28.17,3.34,-7.67,-3.37,Upgrade
EV/Sales Ratio,29.24,40.78,168.14,138.30,79.21,70.59,146.29,231.91,805.36,1342.72,6019.77,Upgrade
EV/EBITDA Ratio,-0.90,-1.11,1.67,3.25,4.65,-143.38,6.38,-2.36,-133.87,123.10,5.42,Upgrade
EV/EBIT Ratio,-0.90,-1.11,1.67,3.25,4.65,-143.38,6.38,-2.36,-133.87,123.10,5.42,Upgrade
EV/FCF Ratio,-1.27,-1.27,1.35,-10.68,3.39,11.93,2.20,-43.11,4.32,-11.48,-4.25,Upgrade
Debt / Equity Ratio,0.34,0.35,0.20,0.12,0.19,0.20,0.33,0.35,0.25,0.30,0.24,Upgrade
Debt / EBITDA Ratio,-0.52,-0.58,0.49,0.48,1.52,-48.25,3.50,-0.93,-38.09,42.63,1.26,Upgrade
Debt / FCF Ratio,-0.73,-0.66,0.40,-1.58,1.11,4.01,1.21,-17.05,1.23,-3.98,-0.99,Upgrade
Asset Turnover,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0,0,Upgrade
Return on Equity (ROE),-63.90%,-48.40%,35.30%,32.80%,11.40%,0.40%,8.70%,-33.90%,2.90%,-0.70%,13.70%,Upgrade
Return on Assets (ROA),-48.10%,-37.80%,33.10%,20.20%,7.50%,0.20%,4.70%,-22.20%,1.80%,-0.40%,11.80%,Upgrade
Return on Capital (ROIC),-45.90%,-39.60%,47.40%,21.10%,8.10%,-0.20%,4.60%,-18.10%,-0.30%,0.40%,16.90%,Upgrade
Earnings Yield,-153.17%,-122.76%,39.46%,28.90%,19.23%,0.86%,15.12%,-67.22%,4.68%,-1.24%,15.15%,Upgrade
FCF Yield,-104.59%,-102.69%,49.27%,-9.06%,28.09%,9.21%,48.70%,-3.55%,29.96%,-13.04%,-29.65%,Upgrade
Dividend Yield,3.07%,57.43%,7.27%,5.93%,-,-,55.67%,-,-,-,Upgrade,
Payout Ratio,0.00%,-2.50%,140.60%,20.70%,25.80%,0.00%,0.00%,-82.80%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,9.12%,-12.20%,-22.80%,5.54%,-11.89%,5.96%,1.16%,-14.76%,-0.04%,5.94%,-27.61%,Upgrade
Total Shareholder Return,9.12%,-9.13%,34.64%,12.82%,-5.96%,5.96%,1.16%,40.90%,-0.04%,5.94%,-27.61%,Upgrade
