Year,Current,2022,2021
Market Capitalization,222,217,186
Market Cap Growth,-,16.39%,-
Enterprise Value,222,216,184
PE Ratio,147.29,564.33,-882.23
PB Ratio,-37.22,-38.69,-41.57
P/FCF Ratio,-209.90,-124.92,-4885.02
P/OCF Ratio,-209.90,-124.92,-4885.02
EV/EBITDA Ratio,84.76,283.76,-871.33
EV/EBIT Ratio,84.76,283.76,-871.33
EV/FCF Ratio,-209.66,-124.64,-4824.66
Current Ratio,0.34,1.30,4.14
Return on Equity (ROE),-30.60%,-7.40%,-
Return on Assets (ROA),0.90%,0.20%,-
Return on Capital (ROIC),1.50%,0.40%,-
Earnings Yield,0.75%,0.18%,-0.11%
FCF Yield,-0.47%,-0.80%,-0.02%
Buyback Yield / Dilution,-309.09%,-309.09%,-
Total Shareholder Return,-309.09%,-309.09%,-
