Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,"8,596","10,620","13,272","11,379","12,126","9,288",-,-
Market Cap Growth,-,-19.98%,16.63%,-6.15%,30.55%,-,-,-
Enterprise Value,"8,178","10,048","11,702","7,875","10,737","9,177","2,278","1,502"
PE Ratio,6.79,6.23,-25.62,-16.23,-6.87,5.01,-,-
PS Ratio,0.68,0.76,1.20,0.92,1.26,0.77,-,-
PB Ratio,2.27,7.58,1.15,0.73,0.90,0.67,-,-
P/FCF Ratio,-10.28,-10.43,-15.15,-67.73,-39.24,-149.81,-,-
P/OCF Ratio,-12.98,-12.48,-17.56,-186.55,-56.14,152.27,-,-
EV/Sales Ratio,0.66,0.72,1.06,0.63,1.12,0.76,0.18,0.13
EV/EBITDA Ratio,3.92,3.05,74.54,13.94,-7.35,3.42,1.58,0.59
EV/EBIT Ratio,6.65,4.04,-34.42,-6.61,-5.03,3.84,2.18,0.83
EV/FCF Ratio,-9.90,-9.87,-13.36,-46.88,-34.75,-148.02,-6.60,1.00
Debt / Equity Ratio,1.53,3.73,0.44,0.28,0.31,0.40,0.59,0.71
Debt / EBITDA Ratio,2.75,1.59,32.62,7.84,-2.81,2.06,5.49,3.16
Debt / FCF Ratio,-6.42,-5.14,-5.85,-26.36,-13.30,-89.16,-22.95,5.42
Asset Turnover,0.05,0.05,0.04,0.05,0.04,0.05,0.06,-
Return on Equity (ROE),37.10%,37.30%,-4.50%,-4.00%,-12.50%,13.90%,6.70%,-
Return on Assets (ROA),0.50%,0.70%,-0.20%,-0.30%,-0.70%,0.80%,0.40%,-
Return on Capital (ROIC),0.50%,1.00%,-0.10%,-0.50%,-0.90%,1.10%,0.50%,-
Earnings Yield,15.38%,16.05%,-3.90%,-6.16%,-14.55%,19.97%,-,-
FCF Yield,-10.50%,-9.59%,-6.60%,-1.48%,-2.55%,-0.67%,-,-
Dividend Yield,3.31%,2.79%,2.23%,2.61%,2.36%,1.56%,-,-
Payout Ratio,22.70%,17.30%,-57.30%,-42.30%,-16.20%,7.80%,0.00%,0.00%
Buyback Yield / Dilution,7.05%,8.98%,7.33%,8.75%,11.30%,0.80%,-,-
Total Shareholder Return,10.39%,11.77%,9.56%,11.36%,13.66%,2.36%,-,-
