Year,Current,2022,2021,2020,2019,2018
Market Capitalization,211,49,332,957,6,85
Market Cap Growth,-,-85.12%,-65.28%,15981.54%,-92.95%,-
Enterprise Value,146,-13,245,951,6,84
PE Ratio,-0.47,-0.47,-329.15,-420.06,-0.61,-23.89
PS Ratio,6.44,1.53,3.46,45.45,-,-
PB Ratio,2.31,0.55,2.01,25.20,1.55,7.28
P/FCF Ratio,-1.85,-1.85,-5.18,-174.81,-4.08,-16.73
P/OCF Ratio,-5.82,-5.82,-19.16,-985.34,-4.42,-16.73
EV/Sales Ratio,4.52,-0.39,2.55,45.13,-,-
EV/EBITDA Ratio,0.16,0.16,15.36,909.50,-0.61,-23.72
EV/EBIT Ratio,0.12,0.12,86.13,-417.12,-0.61,-23.72
EV/FCF Ratio,0.48,0.48,-3.82,-173.58,-4.07,-16.61
Current Ratio,8.65,8.65,17.90,4.60,1.30,14.05
Asset Turnover,0.21,0.21,0.82,0.95,0,0
Return on Equity (ROE),-72.40%,-72.40%,-0.90%,-10.90%,-125.30%,-30.20%
Return on Assets (ROA),-68.60%,-68.60%,-0.90%,-10.30%,-113.90%,-27.90%
Return on Capital (ROIC),-93.90%,-93.90%,3.20%,-10.90%,-124.50%,-38.30%
Earnings Yield,-50.59%,-212.85%,-0.30%,-0.24%,-162.52%,-4.19%
FCF Yield,-12.85%,-54.07%,-19.31%,-0.57%,-24.48%,-5.98%
Buyback Yield / Dilution,-41.80%,-41.80%,-81.23%,-101.29%,-5.60%,-111.18%
Total Shareholder Return,-41.80%,-41.80%,-81.23%,-101.29%,-5.60%,-111.18%
