Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Market Capitalization,"13,353","13,310","13,906","10,028","13,303","10,977","14,136","6,006","5,351","5,353","4,531",Upgrade
Market Cap Growth,-,-4.29%,38.67%,-24.62%,21.20%,-22.35%,135.35%,12.24%,-0.02%,18.14%,76.22%,Upgrade
Enterprise Value,"14,706","14,657","14,956","11,027","13,917","11,881","15,183","5,909","5,249","5,205","4,309",Upgrade
PE Ratio,49.47,56.86,26.37,21.47,35.70,26.01,35.63,32.48,26.22,28.41,26.06,Upgrade
PS Ratio,3.36,3.36,3.98,2.93,5.33,3.96,6.34,8.54,8.06,8.67,7.92,Upgrade
PB Ratio,3.77,3.84,3.86,3.00,3.97,3.39,4.54,18.89,20.61,21.41,15.92,Upgrade
P/FCF Ratio,37.02,22.51,25.48,7.11,22.26,22.02,41.96,32.43,25.98,25.19,23.15,Upgrade
P/OCF Ratio,31.63,20.44,23.30,6.87,21.02,20.53,37.76,26.16,21.82,20.38,20.19,Upgrade
EV/Sales Ratio,3.70,3.70,4.28,3.22,5.58,4.29,6.81,8.40,7.91,8.43,7.53,Upgrade
EV/EBITDA Ratio,21.49,22.34,15.40,12.87,19.40,14.61,26.68,16.51,14.18,14.88,13.54,Upgrade
EV/EBIT Ratio,28.45,29.96,18.61,15.80,25.73,19.50,40.29,18.85,16.20,16.81,15.19,Upgrade
EV/FCF Ratio,40.77,24.79,27.40,7.81,23.28,23.84,45.07,31.91,25.48,24.49,22.02,Upgrade
Debt / Equity Ratio,0.53,0.54,0.40,0.40,0.27,0.38,0.40,-,-,-,-,Upgrade
Debt / EBITDA Ratio,2.73,2.85,1.47,1.56,1.27,1.49,2.18,-,-,-,-,Upgrade
Debt / FCF Ratio,5.18,3.16,2.62,0.95,1.53,2.44,3.67,-,-,-,-,Upgrade
Current Ratio,1.07,1.05,1.31,1.19,2.16,1.15,1.30,2.62,2.76,3.31,2.87,Upgrade
Asset Turnover,0.54,0.53,0.49,0.59,0.48,0.53,0.42,1.64,1.75,1.59,1.33,Upgrade
Return on Equity (ROE),8.80%,6.90%,15.10%,14.10%,11.20%,13.30%,13.70%,66.00%,82.40%,72.10%,58.20%,Upgrade
Return on Assets (ROA),4.00%,3.10%,7.40%,8.10%,7.20%,8.00%,7.50%,43.00%,53.70%,48.60%,40.40%,Upgrade
Return on Capital (ROIC),21.20%,20.10%,42.60%,46.90%,41.10%,47.80%,23.80%,169.50%,246.70%,284.40%,322.50%,Upgrade
Earnings Yield,2.23%,1.76%,3.79%,4.66%,2.80%,3.85%,2.81%,3.08%,3.81%,3.52%,3.84%,Upgrade
FCF Yield,2.70%,4.44%,3.92%,14.07%,4.49%,4.54%,2.38%,3.08%,3.85%,3.97%,4.32%,Upgrade
Dividend Yield,1.44%,-,0.69%,1.70%,1.13%,1.19%,0.79%,1.30%,1.37%,1.24%,2.24%,Upgrade
Payout Ratio,0.00%,0.00%,18.30%,36.40%,40.00%,30.70%,28.10%,42.30%,35.80%,35.30%,58.30%,Upgrade
Buyback Yield / Dilution,0.56%,0.47%,1.92%,2.24%,0.36%,-4.37%,-32.06%,2.05%,2.70%,2.20%,0.15%,Upgrade
Total Shareholder Return,2.00%,0.47%,2.62%,3.94%,1.48%,-3.19%,-31.27%,3.35%,4.07%,3.45%,2.38%,Upgrade
