Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,218,117,280,289,274,375,-,-
Market Cap Growth,-,-58.09%,-3.09%,5.25%,-26.81%,-,-,-
Enterprise Value,"1,086",992,"1,197",934,"1,092","2,109","2,172",871
PE Ratio,11.83,6.04,27.46,16.44,3.59,3.01,-,-
PS Ratio,2.88,1.60,3.77,3.09,1.53,1.36,-,-
PB Ratio,0.38,0.21,0.47,0.51,0.53,0.85,-,-
P/FCF Ratio,1.77,0.99,2.61,1.69,1.48,1.97,-,-
P/OCF Ratio,1.60,0.89,2.60,1.69,1.48,1.95,-,-
EV/Sales Ratio,14.80,13.53,16.14,10.00,6.10,7.65,8.42,7.95
EV/EBITDA Ratio,43.28,39.55,78.51,36.18,10.44,12.45,17.53,20.39
EV/EBIT Ratio,43.84,40.06,81.71,37.52,10.60,12.59,17.77,20.86
EV/FCF Ratio,9.12,8.33,11.16,5.46,5.90,11.10,11.33,16.48
Debt / Equity Ratio,2.02,2.02,2.12,1.65,2.10,5.03,8.58,5.63
Debt / EBITDA Ratio,45.01,45.01,83.03,36.61,10.33,13.09,19.17,21.36
Debt / FCF Ratio,9.48,9.48,11.80,5.52,5.84,11.67,12.39,17.26
Asset Turnover,0.04,0.04,0.03,0.05,0.09,0.10,0.13,-
Return on Equity (ROE),3.50%,3.50%,1.70%,3.20%,15.60%,35.30%,36.10%,-
Return on Assets (ROA),1.00%,1.00%,0.50%,0.90%,3.60%,4.60%,4.10%,-
Return on Capital (ROIC),0.90%,0.90%,0.50%,1.00%,3.20%,3.60%,3.50%,-
Earnings Yield,9.21%,16.56%,3.64%,6.08%,27.84%,33.24%,-,-
FCF Yield,56.44%,101.50%,38.33%,59.23%,67.47%,50.70%,-,-
Buyback Yield / Dilution,-,-,-,-0.82%,-,-,-,
Total Shareholder Return,-,-,-,-0.82%,-,-,-,
