Year,Current,2022,2021,2020,2019
Market Capitalization,33,37,38,-,-
Market Cap Growth,-,-1.43%,-,-,-
Enterprise Value,46,68,28,-30,13
PE Ratio,13.15,17.60,48.08,-,-
PS Ratio,2.77,3.36,4.51,-,-
PB Ratio,0.71,0.81,0.82,-,-
P/FCF Ratio,7.44,8.92,27.39,-,-
P/OCF Ratio,8.34,11.04,27.19,-,-
EV/Sales Ratio,3.85,6.10,3.29,-4.59,1.91
EV/EBITDA Ratio,14.40,23.06,24.45,85.82,11.37
EV/EBIT Ratio,15.84,25.57,28.86,54.12,13.72
EV/FCF Ratio,10.33,16.21,20.00,61.81,9.74
Debt / Equity Ratio,1.03,1.04,0.36,0.94,1.17
Debt / EBITDA Ratio,15.06,16.24,14.80,-58.72,22.66
Debt / FCF Ratio,10.80,11.42,12.11,-42.29,19.41
Asset Turnover,0.03,0.03,0.03,0.03,-
Return on Equity (ROE),5.00%,4.70%,2.30%,-1.90%,-
Return on Assets (ROA),0.60%,0.60%,0.20%,-0.20%,-
Return on Capital (ROIC),0.70%,0.70%,0.30%,-0.20%,-
Earnings Yield,6.93%,5.68%,2.08%,-,-
FCF Yield,13.44%,11.21%,3.65%,-,-
Buyback Yield / Dilution,-1.16%,1.36%,-15.00%,-,-
Total Shareholder Return,-1.16%,1.36%,-15.00%,-,-
