Year,Current,2022,2021,2020,2019
Market Capitalization,241,358,417,-,-
Market Cap Growth,-,-14.14%,-,-,-
Enterprise Value,641,664,446,49,185
PE Ratio,436.00,149.53,-11.48,-,-
PS Ratio,4.41,6.46,8.70,-,-
PB Ratio,0.62,0.91,0.97,-,-
P/FCF Ratio,-34.10,-138.60,-16.02,-,-
P/OCF Ratio,-205.14,128.93,-29.51,-,-
EV/Sales Ratio,11.84,11.97,9.29,1.31,4.18
EV/EBITDA Ratio,177.37,123.10,-18.28,-1.32,20.03
EV/EBIT Ratio,694.66,242.95,-16.67,-1.25,25.28
EV/FCF Ratio,-86.48,-256.95,-17.11,-5.77,57.30
Debt / Equity Ratio,1.19,0.88,0.52,1.78,1.30
Debt / EBITDA Ratio,127.25,64.33,-9.10,-9.77,33.45
Debt / FCF Ratio,-59.88,-134.28,-8.52,-42.81,95.71
Asset Turnover,0.03,0.03,0.02,0.02,-
Return on Equity (ROE),0.20%,0.60%,-11.30%,-14.20%,-
Return on Assets (ROA),0.00%,0.10%,-1.70%,-1.70%,-
Return on Capital (ROIC),0.00%,0.10%,-1.30%,-2.00%,-
Earnings Yield,0.27%,0.67%,-8.71%,-,-
FCF Yield,-3.22%,-0.72%,-6.24%,-,-
Buyback Yield / Dilution,3.68%,-115.85%,44.04%,-,-
Total Shareholder Return,3.68%,-115.85%,44.04%,-,-
