Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,828,"1,126","1,008",653,889,805,-,-
Market Cap Growth,-,11.63%,54.49%,-26.53%,10.38%,-,-,-
Enterprise Value,"1,080","1,608",770,"1,417","1,024","1,143",-33,-140
PE Ratio,8.30,12.83,9.29,17.95,16.49,16.55,-,-
PS Ratio,2.54,3.66,3.49,3.33,4.22,4.16,-,-
PB Ratio,0.83,1.19,1.38,1.01,1.48,1.46,-,-
P/FCF Ratio,5.71,8.21,6.06,-103.43,17.62,11.11,-,-
P/OCF Ratio,5.24,7.73,5.88,735.94,14.44,10.34,-,-
EV/Sales Ratio,3.31,5.22,2.66,7.22,4.86,5.90,-0.22,-1.06
EV/EBITDA Ratio,8.52,13.43,5.53,27.66,13.98,16.74,-1.26,-5.93
EV/EBIT Ratio,9.64,14.96,5.81,31.96,15.39,18.31,-1.62,-8.88
EV/FCF Ratio,7.44,11.72,4.63,-224.58,20.30,15.78,-0.52,-3.00
Debt / Equity Ratio,1.09,0.89,0.64,1.76,0.71,0.83,0.37,0.29
Debt / EBITDA Ratio,8.49,7.02,3.35,22.29,5.83,6.66,5.85,5.08
Debt / FCF Ratio,7.43,6.13,2.81,-180.92,8.46,6.28,2.43,2.57
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,-
Return on Equity (ROE),10.50%,11.00%,15.60%,5.80%,9.20%,9.60%,2.30%,-
Return on Assets (ROA),1.00%,1.00%,1.40%,0.50%,1.00%,1.10%,0.20%,-
Return on Capital (ROIC),1.20%,1.20%,1.80%,0.60%,1.20%,1.40%,0.50%,-
Earnings Yield,11.03%,7.79%,10.76%,5.57%,6.06%,6.04%,-,-
FCF Yield,17.53%,12.19%,16.51%,-0.97%,5.68%,9.00%,-,-
Dividend Yield,2.23%,1.58%,1.14%,1.36%,0.66%,0.29%,-,-
Payout Ratio,18.50%,17.60%,10.60%,24.20%,10.90%,4.40%,0.00%,0.00%
Buyback Yield / Dilution,-29.56%,-30.55%,0.04%,-0.11%,0.59%,-7.24%,-,-
Total Shareholder Return,-27.33%,-28.97%,1.19%,1.26%,1.25%,-6.96%,-,-
