Year,Current,2022,2021,2020,2019
Market Capitalization,"16,819","15,217","23,292","14,218","10,310"
Market Cap Growth,-,-34.67%,63.82%,37.91%,-
Enterprise Value,"15,729","13,987","22,343","13,460","9,879"
PE Ratio,48.41,49.19,102.69,85.50,123.08
PS Ratio,14.04,12.80,21.64,15.93,13.29
PB Ratio,3.39,3.07,5.01,3.30,3.05
P/FCF Ratio,28.24,26.57,44.22,35.48,38.68
P/OCF Ratio,25.72,24.05,40.30,32.08,33.15
EV/Sales Ratio,13.04,11.77,20.76,15.08,12.74
EV/EBITDA Ratio,27.78,25.25,44.99,35.75,36.18
EV/EBIT Ratio,40.71,37.30,68.69,60.45,73.89
EV/FCF Ratio,26.23,24.42,42.42,33.59,37.06
Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01
Debt / EBITDA Ratio,0.05,0.05,0.05,0.09,0.11
Debt / FCF Ratio,0.04,0.05,0.05,0.09,0.12
Asset Turnover,0.20,0.20,0.18,0.16,0.15
Return on Equity (ROE),6.40%,6.40%,5.00%,4.20%,2.40%
Return on Assets (ROA),5.10%,5.10%,3.80%,3.00%,1.60%
Return on Capital (ROIC),37.40%,35.70%,32.80%,27.80%,20.90%
Earnings Yield,1.86%,2.03%,0.97%,1.17%,0.81%
FCF Yield,3.54%,3.76%,2.26%,2.82%,2.59%
Dividend Yield,0.46%,0.44%,0.28%,0.42%,0.36%
Payout Ratio,21.90%,21.30%,28.30%,34.80%,42.10%
Buyback Yield / Dilution,-1.28%,-0.55%,-10.11%,-20.24%,-
Total Shareholder Return,-0.82%,-0.11%,-9.83%,-19.82%,0.36%
