Year,Current,2022,2021,2020
Market Capitalization,"13,994","46,587","20,348",391
Market Cap Growth,-,128.96%,5101.50%,-
Enterprise Value,"16,031","48,383","21,568",736
PE Ratio,332.67,-5015.28,-54.09,-5.03
PS Ratio,9.46,34.01,24.70,1.57
PB Ratio,8.83,29.03,12.23,-0.78
P/FCF Ratio,19.96,70.28,73.62,85.37
P/OCF Ratio,18.57,63.95,72.24,74.74
EV/Sales Ratio,10.80,35.32,26.18,2.95
EV/EBITDA Ratio,45.00,156.46,-72.48,-13.77
EV/EBIT Ratio,231.03,1306.18,-52.08,-13.60
EV/FCF Ratio,22.79,72.99,78.03,160.62
Debt / Equity Ratio,1.27,1.16,0.76,-0.71
Debt / EBITDA Ratio,5.69,6.03,-4.24,-6.67
Debt / FCF Ratio,2.88,2.81,4.57,77.78
Current Ratio,-,-,-,8.99
Asset Turnover,0.17,0.16,0.20,3.20
Return on Equity (ROE),0.70%,-0.60%,-64.70%,24.00%
Return on Assets (ROA),0.10%,-0.10%,-9.00%,-99.70%
Return on Capital (ROIC),1.80%,1.10%,-25.80%,-21.60%
Earnings Yield,0.08%,-0.02%,-1.85%,-19.90%
FCF Yield,5.01%,1.42%,1.36%,1.17%
Dividend Yield,4.63%,0.40%,1.10%,-
Payout Ratio,1100.00%,-2150.00%,-13.40%,0.00%
Buyback Yield / Dilution,-9.37%,67.04%,-3823.75%,-
Total Shareholder Return,-4.76%,67.44%,-3822.65%,-
