Year,Current,2022,2021
Market Capitalization,104,433,423
Market Cap Growth,-,2.24%,-
Enterprise Value,105,432,423
PE Ratio,44.79,44.54,166.27
PB Ratio,-13.47,-24.35,-17.67
P/FCF Ratio,-54.83,-448.73,-296.82
P/OCF Ratio,-54.83,-448.73,-296.82
EV/EBITDA Ratio,31.39,40.32,166.17
EV/EBIT Ratio,31.39,40.32,166.17
EV/FCF Ratio,-55.05,-447.77,-296.64
Debt / Equity Ratio,-0.10,-0.04,-
Debt / EBITDA Ratio,0.23,0.07,-
Debt / FCF Ratio,-0.40,-0.77,-
Current Ratio,0.11,0.34,1.86
Return on Equity (ROE),-15.20%,-54.70%,-27.10%
Return on Assets (ROA),1.30%,3.70%,0.70%
Return on Capital (ROIC),1.90%,4.10%,0.70%
Earnings Yield,2.21%,2.24%,0.60%
FCF Yield,-1.81%,-0.22%,-0.34%
Buyback Yield / Dilution,76.17%,-10.79%,-
Total Shareholder Return,76.17%,-10.79%,-
