Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Market Capitalization,"11,046","10,516","7,935","10,294","10,602","14,539","16,124","11,539","9,583","10,706","13,733",Upgrade
Market Cap Growth,-,32.53%,-22.91%,-2.91%,-27.08%,-9.83%,39.73%,20.41%,-10.48%,-22.04%,-3.62%,Upgrade
Enterprise Value,"25,804","25,274","19,848","28,394","25,742","26,398","26,966","20,418","18,611","19,619","22,507",Upgrade
PE Ratio,6.17,6.19,6.40,18.20,12.88,16.72,17.35,13.43,11.14,10.89,13.12,Upgrade
PS Ratio,3.44,3.28,3.07,5.31,4.65,6.32,6.77,5.29,4.80,4.63,5.74,Upgrade
PB Ratio,1.73,1.65,1.40,1.83,1.99,2.75,2.80,2.33,2.14,2.23,2.69,Upgrade
P/FCF Ratio,86.41,82.26,2.28,-2.92,5.78,-7.42,11.67,57.21,-4.07,-25.94,-47.62,Upgrade
P/OCF Ratio,73.03,69.52,2.25,-2.96,5.60,-7.56,11.37,47.50,-4.14,-29.65,-51.62,Upgrade
EV/Sales Ratio,8.04,7.87,7.67,14.66,11.28,11.48,11.32,9.37,9.32,8.49,9.41,Upgrade
EV/EBITDA Ratio,12.06,11.81,12.00,34.87,22.27,22.87,22.89,19.22,18.22,16.79,17.74,Upgrade
EV/EBIT Ratio,12.65,12.39,12.69,39.93,24.29,24.00,24.14,20.23,19.05,17.61,18.50,Upgrade
EV/FCF Ratio,201.86,197.71,5.69,-8.06,14.03,-13.48,19.52,101.24,-7.89,-47.53,-78.05,Upgrade
Debt / Equity Ratio,2.82,2.82,2.88,3.86,3.46,2.48,2.21,2.24,2.46,2.18,2.08,Upgrade
Debt / EBITDA Ratio,8.42,8.42,9.84,26.65,15.92,11.37,10.79,10.42,10.78,8.96,8.35,Upgrade
Debt / FCF Ratio,140.88,140.88,4.67,-6.16,10.03,-6.70,9.20,54.87,-4.67,-25.36,-36.74,Upgrade
Asset Turnover,0.05,0.05,0.05,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),28.20%,28.20%,24.00%,10.20%,15.90%,16.70%,16.70%,17.70%,20.00%,21.30%,21.90%,Upgrade
Return on Assets (ROA),2.70%,2.70%,2.20%,0.90%,1.60%,1.80%,1.80%,1.80%,2.10%,2.20%,2.20%,Upgrade
Return on Capital (ROIC),2.70%,2.70%,2.20%,0.90%,1.60%,1.80%,1.80%,1.80%,2.00%,2.10%,2.20%,Upgrade
Earnings Yield,15.39%,16.17%,15.62%,5.50%,7.76%,5.98%,5.77%,7.45%,8.98%,9.18%,7.62%,Upgrade
FCF Yield,1.16%,1.22%,43.94%,-34.22%,17.30%,-13.47%,8.57%,1.75%,-24.60%,-3.86%,-2.10%,Upgrade
Dividend Yield,0.10%,1278.58%,772.76%,789.99%,645.07%,710.49%,532.53%,823.26%,1078.23%,1098.09%,1026.41%,Upgrade
Payout Ratio,39.50%,39.50%,24.70%,71.80%,41.50%,59.00%,45.60%,54.10%,58.80%,59.90%,67.40%,Upgrade
Buyback Yield / Dilution,0.64%,-,-,-,0.64%,0.77%,0.66%,0.68%,-1.59%,0.71%,-3.82%,Upgrade
Total Shareholder Return,0.74%,1278.58%,772.76%,789.99%,645.71%,711.26%,533.19%,823.93%,1076.64%,1098.80%,1022.59%,Upgrade
