Year,Current,2021
Market Capitalization,77,147
Enterprise Value,77,147
PE Ratio,-329.68,-301.13
PB Ratio,-41.43,-40.23
P/FCF Ratio,-184.81,-445.73
P/OCF Ratio,-184.81,-445.73
EV/EBITDA Ratio,-329.60,-422.12
EV/EBIT Ratio,-329.60,-422.12
EV/FCF Ratio,-184.76,-444.15
Debt / Equity Ratio,-0.05,-
Debt / EBITDA Ratio,-0.39,-
Debt / FCF Ratio,-0.22,-
Current Ratio,0.41,3.13
Return on Equity (ROE),12.30%,-
Return on Assets (ROA),-0.40%,-
Return on Capital (ROIC),-0.40%,-
Earnings Yield,-0.59%,-0.33%
FCF Yield,-1.06%,-0.22%
Buyback Yield / Dilution,-496.21%,-
Total Shareholder Return,-496.21%,-
