Year,Current,2022,2021
Market Capitalization,81,195,189
Market Cap Growth,-,3.18%,-
Enterprise Value,79,195,188
PE Ratio,23.70,18.89,-118.50
PB Ratio,-14.84,-39.18,-13.86
P/FCF Ratio,113.54,-343.76,-132.63
P/OCF Ratio,113.54,-343.76,-132.63
EV/EBITDA Ratio,9.69,18.83,-117.79
EV/EBIT Ratio,9.69,18.83,-117.79
EV/FCF Ratio,111.16,-342.74,-131.83
Return on Equity (ROE),-131.20%,-140.00%,34.40%
Return on Assets (ROA),6.30%,6.60%,-1.00%
Return on Capital (ROIC),6.40%,6.60%,-1.00%
Earnings Yield,10.10%,5.29%,-0.84%
FCF Yield,0.88%,-0.29%,-0.75%
Buyback Yield / Dilution,17.13%,-14.98%,-
Total Shareholder Return,17.13%,-14.98%,-
