Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Market Capitalization,"1,674","1,592","1,553",891,825,879,547,394,362,165,214,Upgrade
Market Cap Growth,-,2.54%,74.20%,8.02%,-6.13%,60.63%,38.92%,8.68%,119.77%,-23.04%,139.42%,Upgrade
Enterprise Value,-,"1,592","1,553",891,825,879,547,393,362,165,214,Upgrade
PE Ratio,0,-6.35,7.64,8.62,4.06,-15.11,5.52,12.51,-15.86,8.46,9.96,Upgrade
PS Ratio,0,-6.39,7.60,8.54,4.04,-15.38,5.48,12.21,-16.43,8.22,9.79,Upgrade
PB Ratio,1.18,1.14,1.26,1.16,1.02,1.15,0.92,1.04,1.12,0.98,1.19,Upgrade
EV/Sales Ratio,-,-6.39,7.60,8.54,4.04,-15.38,5.47,12.18,-16.43,8.22,9.79,Upgrade
EV/EBITDA Ratio,-,-6.35,7.64,8.62,4.06,-15.11,5.52,12.48,-15.86,8.46,9.96,Upgrade
Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.03,0.01,0.02,Upgrade
Current Ratio,5.00,5.00,4.70,1.50,0.79,0,0,0,0,0,0,Upgrade
Asset Turnover,0,-0.18,0.17,0.14,0.25,-0.07,0.16,0.08,-0.07,0.12,0,Upgrade
Return on Equity (ROE),-,-17.89%,16.55%,13.44%,25.06%,-7.63%,16.61%,8.28%,-7.07%,11.58%,11.93%,Upgrade
Return on Assets (ROA),-,-17.87%,16.53%,13.39%,24.90%,-7.60%,16.32%,8.17%,-6.83%,11.50%,0.00%,Upgrade
Return on Capital (ROIC),-,-17.87%,16.54%,13.42%,25.04%,0.00%,0.00%,8.31%,-7.05%,11.56%,0.00%,Upgrade
Earnings Yield,-15.74%,13.09%,11.60%,24.62%,-6.62%,18.10%,7.99%,-6.31%,11.82%,10.04%,Upgrade,
Dividend Yield,24.43%,-,-,-,-,-,-,-,-,-,-,Upgrade
Buyback Yield / Dilution,-98.82%,-42.98%,-3.24%,6.38%,-122.26%,-36.23%,-12.19%,-180.95%,-1.49%,-117.66%,Upgrade,
Total Shareholder Return,24.73%,-98.82%,-42.98%,-3.24%,6.38%,-122.26%,-36.23%,-12.19%,-180.95%,-1.49%,-117.66%,Upgrade
