Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,428,567,726,514,646,510,642,-,-
Market Cap Growth,-,-21.81%,41.29%,-20.50%,26.68%,-20.60%,-,-,-
Enterprise Value,"1,769","1,746","1,495","1,298","1,690","1,718","1,712","1,209",760
PE Ratio,6.07,7.08,8.27,12.87,13.22,11.32,9.26,-,-
PS Ratio,2.57,3.19,3.96,3.93,4.90,4.06,5.28,-,-
PB Ratio,0.61,0.83,1.09,0.84,1.05,0.88,1.17,-,-
P/FCF Ratio,6.57,6.72,6.83,8.08,8.56,8.87,8.30,-,-
P/OCF Ratio,6.49,6.68,6.80,7.90,8.31,8.65,8.19,-,-
EV/Sales Ratio,10.64,9.82,8.17,9.94,12.82,13.67,14.06,10.49,7.67
EV/EBITDA Ratio,17.05,14.97,11.82,21.87,23.44,26.13,25.13,21.27,19.51
EV/EBIT Ratio,17.56,15.35,12.06,22.91,24.33,27.29,26.25,22.41,20.73
EV/FCF Ratio,27.16,20.69,14.07,20.41,22.38,29.88,22.13,44.52,152.26
Debt / Equity Ratio,2.67,2.00,1.36,1.57,1.85,2.24,2.08,3.14,2.22
Debt / EBITDA Ratio,17.91,11.70,7.18,16.23,15.75,19.76,16.81,22.31,21.20
Debt / FCF Ratio,28.54,16.17,8.54,15.14,15.03,22.60,14.80,46.70,165.40
Asset Turnover,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,-
Return on Equity (ROE),10.40%,11.90%,13.60%,6.60%,8.10%,7.90%,14.50%,13.40%,-
Return on Assets (ROA),0.90%,1.00%,1.20%,0.60%,0.70%,0.70%,1.30%,1.10%,-
Return on Capital (ROIC),1.10%,1.30%,1.50%,0.70%,0.90%,0.80%,1.00%,0.90%,-
Earnings Yield,16.53%,14.13%,12.09%,7.77%,7.56%,8.83%,10.80%,-,-
FCF Yield,15.23%,14.87%,14.65%,12.38%,11.69%,11.27%,12.04%,-,-
Dividend Yield,2.86%,4.32%,2.53%,2.35%,2.00%,2.08%,-,-,-
Payout Ratio,26.10%,30.40%,20.90%,30.70%,26.60%,23.50%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,1.21%,1.19%,1.38%,6.47%,0.90%,-31.75%,-2.28%,-,-
Total Shareholder Return,4.08%,5.51%,3.91%,8.82%,2.90%,-29.67%,-2.28%,-,-
