Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,"1,263","1,384","2,254","1,652",837,568,824,695,"1,018","1,545","1,821",Upgrade
Market Cap Growth,-,-38.59%,36.46%,97.33%,47.48%,-31.07%,18.47%,-31.72%,-34.09%,-15.16%,92.08%,Upgrade
Enterprise Value,"3,146","3,134","3,968","3,704","2,628","2,262","2,295",970,"1,083","1,342","1,550",Upgrade
PE Ratio,10.43,11.78,10.83,20.66,9.59,8.45,28.72,14.33,29.00,15.81,24.21,Upgrade
PS Ratio,1.51,1.56,2.30,2.74,1.49,1.03,1.94,2.15,2.67,3.43,4.68,Upgrade
PB Ratio,1.50,1.70,2.72,2.32,1.24,0.90,1.40,2.16,2.00,2.74,3.69,Upgrade
P/FCF Ratio,7.55,10.98,3.42,-7.27,-18.91,-7.64,-4.47,36.79,-4.75,-25.20,67.86,Upgrade
P/OCF Ratio,7.31,10.44,3.39,-7.31,-22.80,-9.07,-4.50,33.23,-4.86,-26.24,63.14,Upgrade
EV/Sales Ratio,3.78,3.54,4.05,6.13,4.67,4.10,5.39,3.01,2.84,2.98,3.98,Upgrade
EV/EBITDA Ratio,8.84,9.43,9.46,14.24,9.32,10.00,16.04,11.11,13.53,9.30,12.13,Upgrade
EV/EBIT Ratio,10.79,11.68,10.77,16.74,10.84,11.74,18.40,11.90,14.82,9.75,12.83,Upgrade
EV/FCF Ratio,18.95,24.85,6.01,-16.31,-59.34,-30.46,-12.45,51.35,-5.06,-21.89,57.76,Upgrade
Debt / Equity Ratio,2.76,2.86,2.78,3.36,3.13,3.09,2.90,1.12,0.30,-,-,Upgrade
Debt / EBITDA Ratio,6.50,7.03,5.48,9.20,7.49,8.62,11.92,4.11,1.91,-,-,Upgrade
Debt / FCF Ratio,13.93,18.55,3.49,-10.53,-47.71,-26.25,-9.25,18.99,-0.71,-,-,Upgrade
Asset Turnover,0.23,0.24,0.26,0.18,0.18,0.20,0.20,0.37,0.50,0.69,0.82,Upgrade
Return on Equity (ROE),15.20%,14.60%,26.40%,11.80%,13.30%,10.70%,5.00%,11.00%,6.50%,18.20%,20.60%,Upgrade
Return on Assets (ROA),3.30%,3.20%,5.50%,2.40%,2.90%,2.40%,1.30%,5.50%,4.50%,14.90%,15.80%,Upgrade
Return on Capital (ROIC),6.20%,5.80%,7.50%,4.50%,5.70%,5.00%,4.50%,8.10%,11.80%,33.40%,53.00%,Upgrade
Earnings Yield,9.83%,8.49%,9.23%,4.84%,10.43%,11.84%,3.48%,6.98%,3.45%,6.33%,4.13%,Upgrade
FCF Yield,13.25%,9.11%,29.27%,-13.75%,-5.29%,-13.08%,-22.39%,2.72%,-21.03%,-3.97%,1.47%,Upgrade
Dividend Yield,3.73%,3.37%,1.41%,1.37%,2.26%,2.85%,1.58%,2.03%,1.58%,0.54%,-,Upgrade
Payout Ratio,37.40%,38.70%,14.60%,27.00%,18.50%,20.30%,44.00%,28.40%,45.10%,8.40%,0.00%,Upgrade
Buyback Yield / Dilution,5.47%,5.26%,-0.34%,2.12%,4.43%,-17.66%,7.35%,12.70%,3.57%,-10.19%,-4.46%,Upgrade
Total Shareholder Return,9.22%,8.63%,1.07%,3.49%,6.69%,-14.81%,8.94%,14.73%,5.16%,-9.64%,-4.46%,Upgrade
