Year,Current,2022,2021
Market Capitalization,229,222,-
Enterprise Value,228,221,0
PE Ratio,129.38,180.33,-
PB Ratio,185.28,179.76,-
P/FCF Ratio,-189.67,-189.67,-
P/OCF Ratio,-189.67,-189.67,-
EV/EBITDA Ratio,132.79,128.82,-11.67
EV/EBIT Ratio,132.79,128.82,-11.67
EV/FCF Ratio,-189.02,-189.02,-15.69
Debt / Equity Ratio,-,-,30.43
Debt / EBITDA Ratio,-,-,-77.52
Debt / FCF Ratio,-,-,-104.18
Current Ratio,1.81,1.81,0.84
Return on Equity (ROE),114.20%,114.20%,-
Return on Assets (ROA),0.90%,0.90%,-
Return on Capital (ROIC),1.30%,1.30%,-
Earnings Yield,0.54%,0.55%,-
FCF Yield,-0.51%,-0.53%,-
Buyback Yield / Dilution,-311.73%,-311.73%,-
Total Shareholder Return,-311.73%,-311.73%,-
