Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,668,735,735,578,790,776,"1,247",-,-,-,-
Market Cap Growth,-,-0.03%,27.26%,-26.83%,1.77%,-37.76%,-,-,-,-,-
Enterprise Value,"1,718","1,782","1,686","1,493","1,931","1,649","2,049",654,463,300,25
PE Ratio,8.55,8.95,4.69,126.86,12.88,19.84,14.81,-,-,-,-
PS Ratio,3.06,3.55,4.29,3.17,3.57,3.74,7.56,-,-,-,-
PB Ratio,0.73,0.80,0.78,0.64,0.83,0.73,1.11,-,-,-,-
P/FCF Ratio,-64.50,50.65,9.75,1.89,-8.59,26.94,-3.23,-,-,-,-
P/OCF Ratio,-64.50,50.65,9.75,1.89,-8.59,26.94,-3.23,-,-,-,-
EV/Sales Ratio,7.88,8.60,9.85,8.20,8.72,7.95,12.42,5.90,6.69,9.09,4.99
EV/EBITDA Ratio,12.53,13.75,8.82,32.17,17.25,21.44,18.84,7.58,16.39,32.36,-15.76
EV/EBIT Ratio,12.53,13.75,8.82,32.17,17.25,21.44,18.84,7.58,16.39,32.36,-15.76
EV/FCF Ratio,-162.33,122.77,22.35,4.89,-21.01,57.28,-5.31,-2.08,-1.19,-0.70,-0.12
Debt / Equity Ratio,1.19,1.17,1.10,1.09,1.23,0.90,0.74,0.91,0.88,0.91,0.36
Debt / EBITDA Ratio,7.97,8.31,5.46,21.20,10.52,12.49,7.67,8.03,17.87,33.30,-42.45
Debt / FCF Ratio,-101.83,74.23,13.84,3.22,-12.82,33.36,-2.16,-2.20,-1.29,-0.72,-0.32
Asset Turnover,0.11,0.10,0.09,0.09,0.10,0.10,0.09,0.08,0.07,0.06,0.04
Return on Equity (ROE),8.60%,8.80%,16.80%,0.50%,6.10%,3.50%,8.20%,10.20%,3.70%,2.00%,-2.10%
Return on Assets (ROA),3.90%,4.00%,7.90%,0.20%,2.80%,1.90%,4.60%,5.20%,1.90%,1.10%,-1.50%
Return on Capital (ROIC),4.40%,4.30%,6.50%,1.50%,3.40%,2.70%,4.30%,4.50%,2.10%,1.30%,-1.10%
Earnings Yield,11.88%,11.17%,21.33%,0.79%,7.77%,5.04%,6.75%,-,-,-,-
FCF Yield,-1.61%,1.97%,10.26%,52.82%,-11.64%,3.71%,-30.94%,-,-,-,-
Dividend Yield,12.77%,12.83%,12.15%,14.36%,13.26%,13.54%,4.72%,-,-,-,-
Payout Ratio,109.10%,103.80%,51.90%,1837.50%,170.60%,266.70%,69.80%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,3.27%,3.44%,-5.51%,6.26%,3.75%,-17.99%,-46.59%,-45.60%,-89.67%,-334.03%,-
Total Shareholder Return,16.04%,16.27%,6.63%,20.62%,17.01%,-4.45%,-41.88%,-45.60%,-89.67%,-334.03%,-
