Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,159,204,187,127,190,-,-
Market Cap Growth,-,9.44%,46.71%,-33.00%,-,-,-
Enterprise Value,107,246,123,35,180,-3,31
PE Ratio,5.65,8.34,9.33,8.44,13.62,-,-
PS Ratio,1.97,2.82,3.07,2.56,4.45,-,-
PB Ratio,0.76,1.03,0.99,0.76,1.39,-,-
P/FCF Ratio,5.63,7.93,7.50,8.06,12.04,-,-
P/OCF Ratio,4.41,6.09,6.41,7.48,11.38,-,-
EV/Sales Ratio,1.37,3.40,2.02,0.69,4.22,-0.11,1.42
EV/EBITDA Ratio,2.72,6.84,4.05,1.60,9.41,-0.25,4.13
EV/EBIT Ratio,2.91,7.37,4.39,1.77,10.40,-0.29,4.99
EV/FCF Ratio,3.91,9.55,4.93,2.19,11.40,-0.29,7.30
Debt / Equity Ratio,0.87,0.87,0.16,0.09,0.40,0.45,1.00
Debt / EBITDA Ratio,4.51,4.79,0.97,0.68,2.86,4.22,9.11
Debt / FCF Ratio,6.48,6.69,1.18,0.94,3.47,4.87,16.12
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.03,-
Return on Equity (ROE),13.90%,12.80%,11.00%,9.70%,10.60%,9.70%,-
Return on Assets (ROA),1.40%,1.30%,1.20%,1.00%,1.20%,1.00%,-
Return on Capital (ROIC),2.00%,1.80%,1.80%,1.30%,1.50%,1.20%,-
Earnings Yield,17.60%,12.00%,10.72%,11.85%,7.34%,-,-
FCF Yield,17.76%,12.60%,13.34%,12.40%,8.31%,-,-
Dividend Yield,1.66%,0.91%,-,-,-,-,-
Payout Ratio,8.20%,7.70%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,1.67%,2.10%,-0.89%,8.86%,-24.16%,-39.22%,-
Total Shareholder Return,3.37%,3.01%,-0.89%,8.86%,-24.16%,-39.22%,-
