Year,Current,2022,2021,2020
Market Capitalization,83,80,164,130
Market Cap Growth,-,-50.87%,26.05%,-
Enterprise Value,84,81,164,129
PE Ratio,38.61,24.76,77.99,-31.03
PB Ratio,-21.46,-21.46,-35.22,-23.67
P/FCF Ratio,-60.30,-60.30,-219.86,-879.08
P/OCF Ratio,-60.30,-60.30,-219.86,-879.08
EV/EBITDA Ratio,25.31,24.48,78.31,-30.79
EV/EBIT Ratio,25.31,24.48,78.31,-30.79
EV/FCF Ratio,-60.98,-60.98,-220.78,-872.16
Debt / Equity Ratio,-0.24,-0.24,-0.21,-
Debt / EBITDA Ratio,0.27,0.27,0.46,-
Debt / FCF Ratio,-0.68,-0.68,-1.29,-
Current Ratio,0.01,0.01,0.72,11.64
Return on Equity (ROE),-86.50%,-86.50%,406.40%,-
Return on Assets (ROA),4.40%,4.40%,1.60%,-
Return on Capital (ROIC),4.50%,4.50%,1.60%,-
Earnings Yield,3.90%,4.04%,1.28%,-3.22%
FCF Yield,-1.60%,-1.66%,-0.45%,-0.11%
Buyback Yield / Dilution,28.71%,28.71%,-132.51%,-
Total Shareholder Return,28.71%,28.71%,-132.51%,-
