Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Market Capitalization,320,398,322,262,902,"1,036","1,281","1,500","1,276","8,532","5,723",Upgrade
Market Cap Growth,-,23.67%,22.73%,-70.95%,-12.99%,-19.08%,-14.59%,17.56%,-85.05%,49.09%,29.06%,Upgrade
Enterprise Value,436,510,425,363,"1,360","1,523","1,805","2,217","2,182","9,463","6,131",Upgrade
PE Ratio,0,3.85,2.40,-0.45,-4.71,10.76,-11.29,14.11,-1.52,36.52,21.14,Upgrade
PS Ratio,11.57,3.76,2.36,-0.46,-4.87,12.92,-10.53,417.18,40.23,379.71,607.54,Upgrade
PB Ratio,0.72,0.89,0.77,0.86,0.97,0.82,1.08,1.06,0.91,3.60,4.59,Upgrade
P/FCF Ratio,0.42,9.00,13.95,0.49,5.41,18.65,8.89,5.19,8.46,-75.04,-205.13,Upgrade
P/OCF Ratio,0.42,9.00,13.95,0.49,5.41,18.65,8.89,5.19,8.46,-75.04,-205.13,Upgrade
EV/Sales Ratio,15.59,4.83,3.11,-0.64,-7.35,18.98,-14.84,616.56,68.80,421.16,650.81,Upgrade
EV/EBITDA Ratio,-0.05,4.76,3.09,-0.64,-7.75,16.88,-15.97,6.01,-0.83,12.30,6.93,Upgrade
EV/FCF Ratio,0.57,11.54,18.43,0.67,8.15,27.41,12.53,7.67,14.47,-83.23,-219.74,Upgrade
Debt / Equity Ratio,0.40,0.40,0.37,0.49,0,0.70,0.89,0.84,0.99,0.85,0.76,Upgrade
Debt / EBITDA Ratio,-0.05,1.05,0.75,-0.18,-2.61,5.39,-4.64,1.94,-0.34,1.21,0.46,Upgrade
Debt / FCF Ratio,0.15,2.54,4.47,0.19,2.75,8.76,3.64,2.48,6.01,-8.19,-14.61,Upgrade
Current Ratio,1.70,1.70,0.91,1.79,0,0.02,0.81,0.02,0.00,0.01,0,Upgrade
Asset Turnover,0,0.17,0.24,-1.25,-0.11,0.04,-0.05,0.00,0.01,0.01,0.00,Upgrade
Return on Equity (ROE),-,23.12%,32.23%,-188.38%,-20.58%,7.65%,-9.60%,7.53%,-59.68%,9.86%,21.73%,Upgrade
Return on Assets (ROA),-,16.57%,23.49%,-126.31%,-11.39%,4.51%,-5.07%,4.10%,-30.03%,5.34%,12.37%,Upgrade
Return on Capital (ROIC),-,17.24%,24.57%,-124.73%,-10.30%,5.74%,-4.41%,-0.52%,-0.11%,-0.15%,-0.31%,Upgrade
Earnings Yield,-273.71%,25.97%,41.60%,-219.78%,-21.22%,9.30%,-8.86%,7.09%,-65.76%,2.74%,4.73%,Upgrade
FCF Yield,236.77%,11.11%,7.17%,205.67%,18.50%,5.36%,11.25%,19.26%,11.82%,-1.33%,-0.49%,Upgrade
Dividend Yield,10.01%,8.41%,5.45%,11.04%,15.37%,12.71%,9.51%,8.27%,9.75%,1.07%,1.06%,Upgrade
Payout Ratio,0.00%,32.40%,13.11%,-5.02%,-72.41%,136.75%,-107.44%,116.68%,-14.82%,39.00%,22.45%,Upgrade
Buyback Yield / Dilution,-7.57%,-0.55%,13.77%,-2.00%,-16.85%,7.37%,-1.13%,-2.01%,75.00%,-67.14%,-1.52%,Upgrade
Total Shareholder Return,2.38%,7.86%,19.22%,9.03%,-1.49%,20.08%,8.39%,6.26%,84.75%,-66.07%,-0.46%,Upgrade
