Year,Current,2022,2021,2020
Market Capitalization,843,951,-,-
Enterprise Value,"1,513","1,661",443,-400
PE Ratio,-,-453.51,-,-
PS Ratio,-,1.41,-,-
PB Ratio,0.62,0.72,-,-
P/FCF Ratio,-,2.42,-,-
P/OCF Ratio,-,2.39,-,-
EV/Sales Ratio,-,2.47,1.11,-2.06
EV/EBITDA Ratio,-,-756.66,-12.96,-87.18
EV/EBIT Ratio,-,-50.04,-9.92,105.07
EV/FCF Ratio,-,4.23,41.11,-0.70
Debt / Equity Ratio,1.17,1.14,2.02,0.54
Debt / EBITDA Ratio,-,-684.06,-28.20,74.78
Debt / FCF Ratio,-,3.83,89.45,0.60
Asset Turnover,-,0.09,0.08,-
Return on Equity (ROE),-,-0.20%,-2.50%,-
Return on Assets (ROA),-,0.00%,-0.30%,-
Return on Capital (ROIC),-,-0.40%,-0.90%,-
Earnings Yield,-0.22%,-,-,
FCF Yield,41.27%,-,-,
Buyback Yield / Dilution,-50.92%,-50.68%,-,-
Total Shareholder Return,-50.92%,-50.68%,-,-
