Year,Current,2022,2021,2020
Market Capitalization,"3,826","3,928","3,366",-
Market Cap Growth,-,16.69%,-,-
Enterprise Value,"3,948","4,157","3,680",285
PE Ratio,5.41,5.58,6.16,-
PS Ratio,3.46,3.59,3.01,-
PB Ratio,0.89,0.96,0.82,-
P/FCF Ratio,7.37,7.01,5.88,-
P/OCF Ratio,7.37,7.01,5.88,-
EV/Sales Ratio,3.57,3.80,3.29,0.26
EV/EBITDA Ratio,4.09,4.38,4.93,0.58
EV/EBIT Ratio,4.09,4.38,4.93,0.58
EV/FCF Ratio,7.61,7.42,6.43,0.41
Debt / Equity Ratio,0.17,0.18,0.18,0.19
Debt / EBITDA Ratio,0.77,0.78,0.99,1.50
Debt / FCF Ratio,1.43,1.33,1.29,1.05
Asset Turnover,0.19,0.19,0.19,0.22
Return on Equity (ROE),17.20%,17.20%,13.70%,9.60%
Return on Assets (ROA),12.40%,12.30%,9.50%,7.30%
Return on Capital (ROIC),16.20%,15.90%,12.30%,10.00%
Earnings Yield,18.70%,17.93%,16.24%,-
FCF Yield,13.57%,14.27%,17.00%,-
Dividend Yield,7.10%,6.40%,5.95%,-
Payout Ratio,35.10%,35.60%,36.60%,0.00%
Buyback Yield / Dilution,-0.08%,-0.25%,-0.02%,-
Total Shareholder Return,7.02%,6.15%,5.93%,-
