Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Market Capitalization,"5,281","4,952","5,967","2,049","3,121","1,239","1,806","2,514","2,183","2,385",-,Upgrade
Market Cap Growth,-,-17.01%,191.17%,-34.33%,151.90%,-31.41%,-28.15%,15.15%,-8.47%,-,-,Upgrade
Enterprise Value,"13,693","13,398","14,851","5,864","7,201","4,529","3,383","3,943","3,925","4,154","1,446",Upgrade
PE Ratio,81.65,53.83,3.94,-5.06,12.69,2.18,9.92,8.55,56.88,12.25,-,Upgrade
PS Ratio,3.10,3.03,5.52,3.21,4.01,3.14,4.31,5.94,4.60,5.13,-,Upgrade
PB Ratio,0.75,0.71,0.77,0.66,0.81,0.30,0.79,1.09,0.99,1.01,-,Upgrade
P/FCF Ratio,2.81,4.47,-9.34,3.04,-12.19,4.42,27.36,4.78,12.46,14.57,-,Upgrade
P/OCF Ratio,2.81,4.47,-9.34,3.04,-12.19,4.42,27.36,4.78,12.46,14.57,-,Upgrade
EV/Sales Ratio,8.08,8.19,13.74,9.18,9.24,11.49,8.07,9.32,8.27,8.94,3.05,Upgrade
EV/EBITDA Ratio,29.26,29.32,8.51,-24.95,17.31,6.94,12.96,10.71,34.58,16.00,4.57,Upgrade
EV/EBIT Ratio,29.26,29.32,8.51,-24.95,17.31,6.94,12.96,10.71,34.58,16.00,4.57,Upgrade
EV/FCF Ratio,7.31,12.10,-23.24,8.69,-28.13,16.17,51.26,7.50,22.41,25.37,-2340.38,Upgrade
Debt / Equity Ratio,1.24,1.24,1.18,1.29,1.08,0.81,0.75,0.74,0.83,0.79,0.63,Upgrade
Debt / EBITDA Ratio,18.54,19.02,5.24,-17.01,10.03,5.19,6.56,4.60,16.06,7.18,5.29,Upgrade
Debt / FCF Ratio,4.63,7.85,-14.31,5.92,-16.30,12.11,25.94,3.22,10.41,11.38,-2708.22,Upgrade
Asset Turnover,0.10,0.10,0.08,0.09,0.10,0.08,0.10,0.10,0.11,0.10,0.11,Upgrade
Return on Equity (ROE),0.90%,1.30%,23.00%,-13.50%,6.10%,21.40%,7.90%,13.10%,1.60%,7.80%,10.30%,Upgrade
Return on Assets (ROA),0.40%,0.50%,10.70%,-5.60%,3.10%,11.80%,4.40%,7.20%,0.90%,4.30%,5.90%,Upgrade
Return on Capital (ROIC),1.90%,1.80%,8.30%,-2.10%,3.70%,9.70%,4.50%,6.50%,1.90%,4.20%,5.30%,Upgrade
Earnings Yield,1.25%,1.86%,25.39%,-19.76%,7.88%,45.93%,10.08%,11.70%,1.76%,8.17%,-,Upgrade
FCF Yield,35.63%,22.35%,-10.71%,32.94%,-8.20%,22.60%,3.65%,20.92%,8.02%,6.86%,-,Upgrade
Dividend Yield,14.49%,15.23%,8.76%,16.44%,12.64%,17.25%,11.67%,8.64%,9.89%,9.03%,-,Upgrade
Payout Ratio,1187.00%,831.20%,34.50%,-83.10%,160.00%,37.60%,116.10%,73.70%,557.50%,111.00%,0.00%,Upgrade
Buyback Yield / Dilution,1.20%,-33.94%,-70.30%,4.20%,-106.44%,-2.49%,-0.75%,-0.62%,2.75%,2.55%,-12.19%,Upgrade
Total Shareholder Return,15.73%,-18.71%,-61.54%,20.63%,-93.80%,14.76%,10.92%,8.02%,12.64%,11.59%,-12.19%,Upgrade
