Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,302,411,209,49,10,26,41,229,602,-,-
Market Cap Growth,-,96.75%,323.49%,388.05%,-60.47%,-37.46%,-82.19%,-61.88%,-,-,-
Enterprise Value,574,685,492,328,299,311,322,494,897,157,113
PE Ratio,7.56,11.24,13.10,3.06,-1.97,-0.68,-1.86,42.50,-357.29,-,-
PS Ratio,0.62,0.86,0.56,0.16,0.04,0.10,0.18,0.74,1.61,-,-
PB Ratio,-7.25,-5.00,-1.72,-0.36,-0.06,-0.17,-0.34,-2.41,-6.95,-,-
P/FCF Ratio,8.30,30.50,20.56,3.30,-7.57,-12.09,-8.45,5.03,23.84,-,-
P/OCF Ratio,5.47,13.11,10.32,2.24,3.56,7.26,16.84,3.83,13.71,-,-
EV/Sales Ratio,1.18,1.44,1.31,1.05,1.08,1.22,1.44,1.60,2.40,0.60,0.57
EV/EBITDA Ratio,5.93,7.32,7.07,5.97,7.39,8888.12,-415.41,10.86,10.81,3.46,2.99
EV/EBIT Ratio,7.03,8.70,9.03,8.59,12.87,-16.93,-18.17,17.30,13.39,5.04,4.81
EV/FCF Ratio,15.76,50.88,48.42,22.01,-224.29,-147.15,-66.49,10.83,35.54,16.22,7.83
Debt / Equity Ratio,-4.04,-3.48,-2.51,-2.44,-1.99,-2.04,-2.54,-3.17,-3.57,-7.83,-3.31
Debt / EBITDA Ratio,2.96,3.05,4.37,6.12,7.60,8737.66,-392.60,6.63,3.72,3.75,3.24
Debt / FCF Ratio,7.85,21.20,29.90,22.57,-230.72,-144.66,-62.83,6.61,12.24,17.56,8.50
Current Ratio,2.93,2.46,2.25,2.68,2.21,2.05,2.91,2.62,2.40,2.42,1.89
Asset Turnover,1.63,1.62,1.48,1.24,1.32,1.19,0.89,1.13,1.37,1.19,-
Return on Equity (ROE),-46.80%,-36.80%,-12.50%,-11.10%,3.40%,27.00%,20.30%,-6.00%,3.10%,106.40%,-
Return on Assets (ROA),13.90%,12.40%,6.30%,6.40%,-2.40%,-17.40%,-8.80%,2.00%,-0.60%,-14.20%,-
Return on Capital (ROIC),18.10%,17.30%,13.20%,9.30%,6.00%,-4.80%,-4.50%,7.30%,20.30%,14.30%,-
Earnings Yield,13.70%,8.89%,7.63%,32.71%,-50.65%,-146.58%,-53.86%,2.35%,-0.28%,-,-
FCF Yield,12.05%,3.28%,4.86%,30.26%,-13.21%,-8.27%,-11.83%,19.90%,4.19%,-,-
Dividend Yield,-,-,-,-,-,12.24%,4.34%,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-22.70%,187.50%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-1.57%,0.13%,-4.74%,-0.32%,-0.42%,-0.29%,-0.53%,2.09%,-,-,-
Total Shareholder Return,-1.57%,0.13%,-4.74%,-0.32%,-0.42%,-0.29%,11.71%,6.43%,-,-,-
