Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,253,527,596,468,612,575,420,427,324,312,237,Upgrade
Market Cap Growth,-,-11.60%,27.51%,-23.62%,6.41%,36.94%,-1.64%,31.93%,3.75%,31.70%,17.67%,Upgrade
Enterprise Value,641,621,274,297,444,551,222,384,370,291,153,Upgrade
PE Ratio,5.40,11.31,17.94,15.46,17.88,17.64,26.30,18.46,17.56,15.78,16.60,Upgrade
PS Ratio,1.80,3.80,5.07,4.72,5.90,5.66,5.09,5.07,4.27,3.96,3.57,Upgrade
PB Ratio,0.58,1.28,1.32,1.31,1.82,1.82,1.41,1.85,1.51,1.56,1.31,Upgrade
P/FCF Ratio,4.62,9.94,13.49,11.73,15.16,13.96,16.47,17.50,14.54,18.89,11.70,Upgrade
P/OCF Ratio,4.33,9.53,13.17,11.45,14.95,13.66,15.59,16.78,13.67,16.55,11.18,Upgrade
EV/Sales Ratio,4.65,4.47,2.33,3.00,4.28,5.42,2.69,4.56,4.87,3.69,2.31,Upgrade
EV/EBITDA Ratio,9.72,9.29,5.74,6.82,9.07,11.85,7.10,9.88,11.73,8.60,6.47,Upgrade
EV/EBIT Ratio,10.31,9.77,6.11,7.32,9.68,12.68,7.71,10.52,12.78,9.24,6.89,Upgrade
EV/FCF Ratio,11.94,11.71,6.21,7.45,11.00,13.37,8.71,15.73,16.61,17.60,7.56,Upgrade
Debt / Equity Ratio,1.00,0.34,0.06,0.08,0.05,0.03,0.02,0.02,0.34,0.10,0.11,Upgrade
Debt / EBITDA Ratio,6.54,2.08,0.54,0.69,0.32,0.21,0.18,0.14,2.30,0.60,0.84,Upgrade
Debt / FCF Ratio,8.04,2.62,0.58,0.75,0.38,0.23,0.22,0.23,3.25,1.22,0.99,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),11.10%,11.40%,8.30%,8.60%,10.40%,10.60%,6.30%,10.20%,8.80%,10.20%,8.70%,Upgrade
Return on Assets (ROA),1.10%,1.10%,0.90%,1.00%,1.30%,1.30%,0.70%,1.20%,1.00%,1.10%,0.90%,Upgrade
Return on Capital (ROIC),1.50%,1.50%,1.40%,1.50%,1.90%,1.80%,1.40%,1.90%,1.60%,1.80%,1.50%,Upgrade
Earnings Yield,18.39%,8.84%,5.57%,6.47%,5.59%,5.67%,3.80%,5.42%,5.70%,6.34%,6.02%,Upgrade
FCF Yield,21.67%,10.06%,7.42%,8.53%,6.60%,7.16%,6.07%,5.71%,6.88%,5.30%,8.54%,Upgrade
Dividend Yield,6.38%,2.97%,2.27%,2.68%,1.80%,1.55%,1.67%,1.46%,1.69%,1.54%,1.71%,Upgrade
Payout Ratio,34.60%,33.40%,40.50%,41.10%,31.90%,27.00%,43.40%,26.80%,29.10%,23.90%,27.90%,Upgrade
Buyback Yield / Dilution,-0.33%,-10.73%,-5.91%,1.28%,1.68%,-11.83%,-2.58%,-0.82%,-0.98%,-8.06%,-2.21%,Upgrade
Total Shareholder Return,6.17%,-7.76%,-3.64%,3.96%,3.48%,-10.28%,-0.90%,0.64%,0.70%,-6.52%,-0.49%,Upgrade
