Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1988
Market Capitalization,391,-,899,462,449,422,442,419,255,185,167,Upgrade
Market Cap Growth,-,-,94.75%,2.90%,6.35%,-4.47%,5.29%,64.41%,37.69%,10.91%,25.50%,Upgrade
Enterprise Value,"1,305",914,"1,293",636,702,733,666,573,391,326,355,Upgrade
PE Ratio,15.71,0,13.33,9.09,11.52,13.87,17.14,17.90,13.18,8.32,12.49,Upgrade
PS Ratio,4.58,0,7.79,4.90,5.92,6.59,6.77,6.98,4.86,3.42,4.12,Upgrade
PB Ratio,1.01,0,2.54,1.58,1.81,1.98,2.37,2.60,1.85,1.52,1.62,Upgrade
P/FCF Ratio,7.34,-,15.66,10.48,13.79,12.14,16.24,16.75,13.03,10.28,12.30,Upgrade
P/OCF Ratio,7.00,-,15.23,10.12,13.52,11.76,16.09,16.68,12.61,10.21,10.49,Upgrade
EV/Sales Ratio,15.28,10.70,11.20,6.75,9.27,11.45,10.22,9.52,7.46,6.01,8.76,Upgrade
EV/EBITDA Ratio,14.88,10.42,12.77,6.91,7.45,10.22,10.74,10.63,8.80,7.38,10.51,Upgrade
EV/EBIT Ratio,14.97,10.48,12.84,6.96,7.50,10.31,10.85,10.77,8.96,7.51,10.72,Upgrade
EV/FCF Ratio,24.48,17.14,22.52,14.43,21.60,21.10,24.51,22.87,19.99,18.07,26.13,Upgrade
Debt / Equity Ratio,9.87,9.87,8.68,8.75,9.48,10.33,11.27,11.51,11.81,11.77,12.14,Upgrade
Debt / EBITDA Ratio,14.55,14.55,6.57,4.44,5.37,8.46,9.35,8.84,9.07,7.49,8.99,Upgrade
Debt / FCF Ratio,23.93,23.93,11.58,9.26,15.56,17.48,21.33,19.02,20.61,18.34,22.36,Upgrade
Current Ratio,81.55,81.55,1397.11,949.44,267.80,0,0,0,0,0,0,Upgrade
Asset Turnover,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),3.10%,9.72%,19.02%,17.33%,15.75%,14.30%,13.84%,14.55%,14.02%,18.32%,12.95%,Upgrade
Return on Assets (ROA),0.29%,0.89%,1.97%,1.78%,1.50%,1.26%,1.13%,1.16%,1.09%,1.43%,0.99%,Upgrade
Return on Capital (ROIC),0.73%,1.74%,2.54%,2.77%,3.26%,0.00%,0.00%,1.71%,1.57%,1.90%,1.19%,Upgrade
Earnings Yield,9.59%,-,7.50%,11.00%,8.68%,7.21%,5.83%,5.59%,7.59%,12.02%,8.01%,Upgrade
FCF Yield,13.63%,0.00%,6.39%,9.55%,7.25%,8.24%,6.16%,5.97%,7.67%,9.73%,8.13%,Upgrade
Dividend Yield,1.70%,-,0.64%,1.07%,0.97%,0.87%,0.78%,0.77%,1.79%,1.57%,1.68%,Upgrade
Payout Ratio,84.79%,17.54%,8.57%,9.72%,11.18%,12.14%,13.41%,13.82%,23.55%,13.10%,21.00%,Upgrade
Buyback Yield / Dilution,-,-0.82%,-0.14%,0.18%,-0.28%,-1.35%,-0.33%,-0.56%,-0.14%,-0.14%,Upgrade,
Total Shareholder Return,1.70%,-,-0.18%,0.93%,1.15%,0.60%,-0.57%,0.45%,1.22%,1.43%,1.54%,Upgrade
