Year,Current,2022,2021
Market Capitalization,357,348,341
Market Cap Growth,-,2.00%,-
Enterprise Value,356,347,340
PE Ratio,29.11,23.98,96.49
PB Ratio,-36.34,-34.16,-15.67
P/FCF Ratio,-326.70,-250.60,-363.41
P/OCF Ratio,-326.70,-250.60,-363.41
EV/EBITDA Ratio,26.06,22.69,95.99
EV/EBIT Ratio,26.06,22.69,95.99
EV/FCF Ratio,-325.80,-249.82,-361.54
Current Ratio,1.01,2.72,6.86
Return on Equity (ROE),-114.90%,-117.00%,-33.40%
Return on Assets (ROA),4.30%,5.10%,2.50%
Return on Capital (ROIC),4.80%,5.40%,2.50%
Earnings Yield,3.43%,4.17%,1.04%
FCF Yield,-0.30%,-0.40%,-0.28%
Buyback Yield / Dilution,-105.13%,-,
Total Shareholder Return,-105.13%,-,
