Year,Current,2022,2021
Market Capitalization,67,64,61
Market Cap Growth,-,4.63%,-
Enterprise Value,68,66,61
PE Ratio,59.30,59.30,-61.29
PB Ratio,-15.78,-15.78,-19.84
P/FCF Ratio,-87.06,-87.06,-57.37
P/OCF Ratio,-87.06,-87.06,-57.37
EV/EBITDA Ratio,62.93,60.48,-61.17
EV/EBIT Ratio,62.93,60.48,-61.17
EV/FCF Ratio,-88.78,-88.78,-57.26
Debt / Equity Ratio,-0.34,-0.34,-
Debt / EBITDA Ratio,1.26,1.26,-
Debt / FCF Ratio,-1.85,-1.85,-
Current Ratio,0.04,0.04,0.90
Return on Equity (ROE),-27.20%,-27.20%,47.90%
Return on Assets (ROA),2.20%,2.20%,-2.80%
Return on Capital (ROIC),2.30%,2.30%,-2.90%
Earnings Yield,1.62%,1.69%,-1.63%
FCF Yield,-1.10%,-1.15%,-1.74%
Buyback Yield / Dilution,-28.16%,-28.16%,-372.39%
Total Shareholder Return,-28.16%,-28.16%,-372.39%
