Year,Current,2022
Market Capitalization,94,91
Enterprise Value,94,91
PE Ratio,152.31,152.31
PB Ratio,-43.64,-43.64
P/FCF Ratio,-353.90,-353.90
P/OCF Ratio,-353.90,-353.90
EV/EBITDA Ratio,156.65,152.16
EV/EBIT Ratio,156.65,152.16
EV/FCF Ratio,-353.55,-353.55
Current Ratio,5.10,5.10
Return on Equity (ROE),-58.10%,-58.10%
Return on Assets (ROA),1.70%,1.70%
Return on Capital (ROIC),1.70%,1.70%
Earnings Yield,0.64%,0.66%
FCF Yield,-0.27%,-0.28%
Buyback Yield / Dilution,-197.53%,-
Total Shareholder Return,-197.53%,-
