Year,Current,2022,2021,2020,2019
Market Capitalization,634,714,"1,007",-,-
Market Cap Growth,-,-29.12%,-,-,-
Enterprise Value,538,630,839,-53,-32
PE Ratio,295.00,-69.96,-23.69,-,-
PS Ratio,1.10,1.32,2.65,-,-
PB Ratio,1.77,2.09,3.91,-,-
P/FCF Ratio,75.14,-99.11,-63.72,-,-
P/OCF Ratio,16.05,28.54,139.84,-,-
EV/Sales Ratio,0.93,1.17,2.21,-0.22,-0.14
EV/EBITDA Ratio,16.20,32.29,-90.22,-3.11,-0.84
EV/EBIT Ratio,-135.70,-35.98,-23.05,-26.60,-1.11
EV/FCF Ratio,63.28,-87.46,-53.10,16.12,-1.93
Debt / Equity Ratio,-,-,-,0.37,4.44
Debt / EBITDA Ratio,-,-,-,1.77,0.92
Debt / FCF Ratio,-,-,-,-9.15,2.14
Current Ratio,2.74,2.61,3.69,5.39,4.01
Asset Turnover,1.36,1.32,1.23,1.23,-
Return on Equity (ROE),0.60%,-3.50%,-25.00%,11.70%,-
Return on Assets (ROA),0.50%,-2.50%,-13.70%,2.70%,-
Return on Capital (ROIC),-7.70%,-17.50%,-46.20%,2.20%,-
Earnings Yield,0.31%,-1.43%,-4.22%,-,-
FCF Yield,1.33%,-1.01%,-1.57%,-,-
Buyback Yield / Dilution,-19.13%,-36.03%,7.82%,-3.68%,-
Total Shareholder Return,-19.13%,-36.03%,7.82%,-3.68%,-
