Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,65,64,47,38,34,32,32,-,-
Market Cap Growth,-,34.26%,24.32%,11.98%,5.37%,2.32%,-,-,-
Enterprise Value,94,93,-24,-291,48,48,16,10,-4
PE Ratio,27.72,28.55,11.70,6.61,38.76,41.99,55.53,-,-
PS Ratio,2.59,2.53,1.73,1.44,2.89,3.10,3.30,-,-
PB Ratio,1.55,1.51,1.11,0.98,1.04,1.05,1.00,-,-
P/FCF Ratio,2.14,2.10,1.13,-1.00,-1.78,84.41,2.56,-,-
P/OCF Ratio,2.14,2.09,1.11,-1.02,-1.85,49.06,2.48,-,-
EV/Sales Ratio,3.74,3.68,-0.89,-11.02,4.08,4.56,1.70,1.00,-0.44
EV/EBITDA Ratio,21.86,21.53,-3.44,-31.72,33.23,38.02,16.95,5.66,-4.03
EV/EBIT Ratio,33.57,33.06,-4.41,-36.55,44.94,46.94,21.34,6.36,-5.22
EV/FCF Ratio,3.10,3.05,-0.58,7.62,-2.52,124.28,1.32,-1.54,-2.22
Debt / Equity Ratio,1.08,1.08,1.15,2.18,1.05,0.98,0.42,1.95,1.01
Debt / EBITDA Ratio,10.52,10.52,6.92,9.26,23.70,23.97,13.81,14.52,11.75
Debt / FCF Ratio,1.49,1.49,1.17,-2.22,-1.80,78.37,1.07,-3.96,6.47
Asset Turnover,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.06,-
Return on Equity (ROE),5.40%,5.40%,9.70%,15.90%,2.80%,2.50%,2.60%,8.40%,-
Return on Assets (ROA),0.40%,0.40%,0.70%,1.10%,0.30%,0.30%,0.30%,0.60%,-
Return on Capital (ROIC),0.50%,0.50%,1.10%,1.60%,0.30%,0.40%,0.40%,0.90%,-
Earnings Yield,3.42%,3.50%,8.54%,15.12%,2.58%,2.38%,1.80%,-,-
FCF Yield,46.64%,47.70%,88.27%,-100.20%,-56.16%,1.18%,39.13%,-,-
Dividend Yield,-,-,-,-,3.37%,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,131.60%,0.00%,-,-
Buyback Yield / Dilution,-2.91%,-2.91%,2.08%,1.65%,-3.53%,-,-,-,-
Total Shareholder Return,-2.91%,-2.91%,2.08%,1.65%,-3.53%,3.37%,-,-,-
