Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"5,878","8,238","5,058","3,802","4,911","4,546","5,171","4,979","3,410","2,936","2,817",Upgrade
Market Cap Growth,-,62.85%,33.05%,-22.58%,8.02%,-12.08%,3.86%,46.03%,16.14%,4.22%,55.91%,Upgrade
Enterprise Value,"13,382","15,083","5,846","5,393","8,357","6,852","7,460","8,777","7,095","6,878","6,182",Upgrade
PE Ratio,6.80,13.11,12.62,17.87,13.10,12.93,20.95,25.09,17.45,15.57,16.76,Upgrade
PS Ratio,2.35,3.75,3.96,3.66,4.08,3.96,5.10,5.37,4.00,3.70,3.74,Upgrade
PB Ratio,0.71,1.02,1.47,1.18,1.53,1.58,1.91,1.97,1.41,1.26,1.27,Upgrade
P/FCF Ratio,4.52,6.30,7.49,10.56,17.66,10.40,12.32,13.87,12.75,13.56,6.35,Upgrade
P/OCF Ratio,4.40,6.17,7.35,9.99,16.16,9.69,11.62,12.51,11.26,12.08,6.07,Upgrade
EV/Sales Ratio,5.34,6.87,4.57,5.19,6.95,5.97,7.35,9.47,8.32,8.67,8.20,Upgrade
EV/EBITDA Ratio,10.48,16.10,9.87,15.66,14.50,12.89,17.09,22.09,18.33,18.44,17.46,Upgrade
EV/EBIT Ratio,11.79,18.90,10.95,19.26,17.17,15.51,21.09,28.92,23.83,23.58,24.10,Upgrade
EV/FCF Ratio,10.29,11.54,8.66,14.98,30.05,15.68,17.77,24.45,26.54,31.77,13.94,Upgrade
Debt / Equity Ratio,1.20,0.95,0.36,0.57,1.15,0.91,0.94,1.59,1.67,1.87,1.64,Upgrade
Debt / EBITDA Ratio,7.78,8.21,2.11,5.38,6.43,4.96,5.83,10.11,10.44,11.62,10.21,Upgrade
Debt / FCF Ratio,7.64,5.88,1.85,5.15,13.32,6.03,6.07,11.19,15.12,20.03,8.15,Upgrade
Asset Turnover,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),10.80%,7.80%,11.90%,6.70%,12.10%,12.60%,9.40%,8.00%,8.20%,8.20%,7.80%,Upgrade
Return on Assets (ROA),1.20%,0.90%,1.20%,0.70%,1.30%,1.30%,0.90%,0.80%,0.80%,0.90%,0.80%,Upgrade
Return on Capital (ROIC),1.50%,1.10%,1.60%,0.80%,1.50%,1.50%,1.30%,1.10%,1.10%,1.20%,1.10%,Upgrade
Earnings Yield,14.72%,7.63%,7.93%,5.60%,7.63%,7.74%,4.77%,3.99%,5.73%,6.42%,5.97%,Upgrade
FCF Yield,22.13%,15.87%,13.35%,9.47%,5.66%,9.61%,8.12%,7.21%,7.84%,7.38%,15.74%,Upgrade
Dividend Yield,4.76%,3.38%,2.87%,3.80%,2.87%,2.54%,1.83%,1.81%,2.39%,2.31%,1.76%,Upgrade
Payout Ratio,32.30%,43.00%,36.10%,68.10%,37.60%,32.60%,38.40%,45.20%,41.40%,35.70%,28.90%,Upgrade
Buyback Yield / Dilution,3.11%,-92.09%,-0.43%,1.99%,0.22%,-0.18%,-0.38%,-0.05%,-1.59%,0.11%,-2.75%,Upgrade
Total Shareholder Return,7.86%,-88.71%,2.44%,5.79%,3.09%,2.36%,1.45%,1.75%,0.81%,2.41%,-0.99%,Upgrade
