Year,Current,2022,2021,2020,2019
Market Capitalization,7,36,52,34,146
Market Cap Growth,-,-30.81%,53.98%,-76.93%,-
Enterprise Value,-18,9,20,28,136
PE Ratio,-1.11,-1.11,-6.35,-13.04,17.71
PS Ratio,-14.41,-14.41,2.07,3.28,7.86
PB Ratio,0.31,1.24,0.94,3.61,20.24
P/FCF Ratio,-9.08,-9.08,-1.68,317.77,18.29
P/OCF Ratio,-9.08,-9.08,-2.52,317.77,18.24
EV/Sales Ratio,-3.44,-3.44,0.81,2.70,7.37
EV/EBITDA Ratio,-0.32,-0.32,6.76,-11.76,15.06
EV/EBIT Ratio,-0.29,-0.29,11.97,-11.56,15.14
EV/FCF Ratio,-2.17,-2.17,-0.66,261.55,17.15
Debt / Equity Ratio,0.19,0.19,0.00,0.12,0.21
Debt / EBITDA Ratio,-0.20,-0.20,0.04,-0.47,0.17
Debt / FCF Ratio,-1.37,-1.37,0.00,10.50,0.19
Current Ratio,1.28,1.28,1.40,1.47,2.09
Asset Turnover,-0.02,-0.02,0.29,0.56,1.27
Return on Equity (ROE),-76.70%,-76.70%,-25.30%,-31.20%,126.80%
Return on Assets (ROA),-27.30%,-27.30%,-9.50%,-14.20%,56.50%
Return on Capital (ROIC),-89.20%,-89.20%,6.80%,-59.90%,210.00%
Earnings Yield,-362.08%,-89.89%,-15.75%,-7.67%,5.65%
FCF Yield,-44.37%,-11.01%,-59.41%,0.31%,5.47%
Buyback Yield / Dilution,-353.26%,-52.80%,-196.64%,-43.05%,-
Total Shareholder Return,-353.26%,-52.80%,-196.64%,-43.05%,-
