Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,"1,127","7,005","7,025","4,084","3,940","5,411","5,952",-,-
Market Cap Growth,-,-0.28%,72.02%,3.65%,-27.19%,-9.09%,-,-,-
Enterprise Value,236,"6,101","5,703","3,155","3,127","4,649","5,304",-175,-53
PE Ratio,3.63,21.54,17.92,13.54,11.62,15.14,-19.78,-,-
PS Ratio,0.71,4.39,4.75,3.53,4.63,8.23,10.03,-,-
PB Ratio,0.64,3.95,4.22,3.19,3.47,6.31,10.87,-,-
P/FCF Ratio,36.78,225.98,78.19,12.16,-104.40,20.76,11.87,-,-
P/OCF Ratio,29.56,181.62,71.34,12.10,-127.97,19.84,11.55,-,-
EV/Sales Ratio,0.15,3.82,3.85,2.73,3.67,7.07,8.94,-0.99,-1.75
EV/EBITDA Ratio,0.59,15.26,12.95,8.17,7.39,12.06,25.43,-2.15,5.30
EV/EBIT Ratio,0.60,15.63,13.27,8.50,7.67,12.26,25.85,-2.20,5.05
EV/FCF Ratio,7.61,196.81,63.48,9.40,-82.86,17.83,10.58,-1.14,1.63
Debt / Equity Ratio,0.01,0.01,0.00,0.01,0.04,0.00,-,-,-0.06
Debt / EBITDA Ratio,0.06,0.06,0.01,0.02,0.11,0.01,-,-,-0.31
Debt / FCF Ratio,0.82,0.82,0.06,0.02,-1.21,0.01,-,-,-0.10
Asset Turnover,0.55,0.55,0.59,0.50,0.34,0.41,0.73,0.84,-
Return on Equity (ROE),19.50%,19.50%,26.00%,25.40%,33.00%,49.10%,-125.00%,16.00%,-
Return on Assets (ROA),11.10%,11.10%,15.60%,12.90%,13.70%,22.30%,-37.00%,-4.20%,-
Return on Capital (ROIC),20.80%,20.80%,31.00%,24.10%,26.00%,42.40%,52.80%,82.40%,-
Earnings Yield,28.52%,4.64%,5.58%,7.39%,8.60%,6.60%,-5.05%,-,-
FCF Yield,2.72%,0.44%,1.28%,8.22%,-0.96%,4.82%,8.43%,-,-
Dividend Yield,5.33%,4.26%,3.59%,4.38%,7.49%,-,-,-,-
Payout Ratio,89.30%,89.30%,61.50%,58.60%,85.30%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,1.90%,1.90%,0.59%,3.94%,2.95%,-105.13%,-17.26%,-,-
Total Shareholder Return,7.19%,6.16%,4.18%,8.32%,10.44%,-105.13%,-17.26%,-,-
