Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,151,205,196,159,212,185,189,129,121,121,120,Upgrade
Market Cap Growth,-,4.61%,23.31%,-25.18%,14.62%,-2.04%,46.59%,6.10%,0.22%,1.08%,0%,Upgrade
Enterprise Value,93,161,202,100,154,214,106,165,222,121,120,Upgrade
PE Ratio,5.83,7.72,8.70,11.49,20.90,12.57,17.14,10.87,11.03,13.46,13.62,Upgrade
PS Ratio,2.04,2.80,2.91,2.96,4.73,4.29,4.50,3.22,3.14,3.35,3.67,Upgrade
PB Ratio,0.67,0.93,0.90,0.76,1.08,1.00,1.12,1.24,1.33,1.54,1.87,Upgrade
P/FCF Ratio,5.79,8.75,21.23,10.57,16.20,11.51,14.92,9.49,11.94,11.57,18.99,Upgrade
P/OCF Ratio,5.71,8.53,15.15,8.76,12.42,10.86,14.74,9.48,11.23,10.51,16.73,Upgrade
EV/Sales Ratio,1.26,2.21,3.00,1.87,3.44,4.96,2.52,4.13,5.73,3.35,3.67,Upgrade
EV/EBITDA Ratio,2.10,3.97,5.34,3.13,4.85,6.75,4.32,6.61,9.80,5.93,6.01,Upgrade
EV/EBIT Ratio,2.19,4.18,5.63,3.33,5.05,6.89,4.47,6.87,10.28,6.27,6.34,Upgrade
EV/FCF Ratio,3.57,6.90,21.94,6.68,11.80,13.32,8.37,12.18,21.79,11.57,18.99,Upgrade
Debt / Equity Ratio,6.04,6.29,6.79,6.68,6.43,5.79,6.13,8.92,10.08,11.17,12.67,Upgrade
Debt / EBITDA Ratio,1.00,0.25,0.49,0.59,0.47,1.75,-,2.24,5.70,-,-,Upgrade
Debt / FCF Ratio,1.70,0.43,2.02,1.27,1.15,3.45,-,4.13,12.67,-,-,Upgrade
Current Ratio,6.23,86.71,1479.46,63.79,48.53,0,0,0,0,0,0,Upgrade
Asset Turnover,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),2.71%,12.06%,10.38%,6.61%,5.18%,7.98%,6.54%,11.45%,12.04%,11.46%,13.71%,Upgrade
Return on Assets (ROA),0.38%,1.65%,1.33%,0.86%,0.70%,1.18%,0.92%,1.15%,1.09%,0.94%,1.00%,Upgrade
Return on Capital (ROIC),0.59%,2.09%,1.66%,1.66%,1.93%,0.00%,0.00%,1.20%,1.15%,0.94%,1.00%,Upgrade
Earnings Yield,17.54%,12.95%,11.50%,8.71%,4.78%,7.95%,5.83%,9.20%,9.07%,7.43%,7.34%,Upgrade
FCF Yield,17.28%,11.43%,4.71%,9.46%,6.17%,8.69%,6.70%,10.54%,8.38%,8.64%,5.27%,Upgrade
Dividend Yield,2.48%,3.16%,2.24%,1.71%,0.60%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Payout Ratio,101.23%,24.37%,19.51%,19.62%,12.62%,1.36%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,3.45%,5.36%,0.79%,0.41%,-0.35%,-18.75%,-15.30%,-6.78%,-0.22%,-1.08%,-,Upgrade
Total Shareholder Return,5.93%,8.51%,3.03%,2.11%,0.25%,-18.64%,-15.30%,-6.78%,-0.22%,-1.08%,-,Upgrade
